latitude,longitude,max_wind_speed
16.7,121.9,2.4519784
16.7,122.0,2.4112015
16.7,122.1,2.7121177
16.7,122.2,3.4410307
16.7,122.3,4.2115545
16.6,120.3,3.5201647
16.6,120.4,3.4888756
16.6,120.5,2.4949424
16.6,120.6,1.4404387
16.6,120.7,2.3813248
16.6,120.8,2.8801522
16.6,120.9,3.2898827
16.6,121.0,3.0623546
16.6,121.1,2.5636663
16.6,121.2,2.2592947
16.6,121.3,1.8981696
16.6,121.4,1.6694373
16.6,121.5,2.0242138
16.6,121.6,2.3030906
16.6,121.7,2.5956147
16.6,121.8,2.7393885
16.6,121.9,2.7925324
16.6,122.0,2.861088
16.6,122.1,3.20208
16.6,122.2,3.986354
16.6,122.3,4.9549103
16.5,120.3,3.8287723
16.5,120.4,3.5614138
16.5,120.5,2.4309068
16.5,120.6,1.5138371
16.5,120.7,2.7846215
16.5,120.8,3.3092148
16.5,120.9,3.790607
16.5,121.0,3.3607526
16.5,121.1,2.8260815
16.5,121.2,2.625466
16.5,121.3,2.2181377
16.5,121.4,2.0864983
16.5,121.5,2.3256905
16.5,121.6,2.5519423
16.5,121.7,2.7402754
16.5,121.8,2.902157
16.5,121.9,2.926963
16.5,122.0,3.2262003
16.5,122.1,3.840214
16.5,122.2,5.1785207
16.4,120.4,3.9157724
16.4,120.5,2.5755377
16.4,120.6,1.5962026
16.4,120.7,2.9484828
16.4,120.8,3.4828176
16.4,120.9,4.11529
16.4,121.0,3.955766
16.4,121.1,3.161885
16.4,121.2,2.9324791
16.4,121.3,2.7842176
16.4,121.4,2.7886221
16.4,121.5,2.63779
16.4,121.6,2.7349937
16.4,121.7,2.883144
16.4,121.8,3.021387
16.4,121.9,3.100247
16.4,122.0,3.6123445
16.4,122.1,4.792657
16.4,122.2,6.2605963
16.3,119.8,5.624462
16.3,120.4,4.503303
16.3,120.5,3.1651964
16.3,120.6,1.8545314
16.3,120.7,2.7949967
16.3,120.8,3.4608092
16.3,120.9,4.338859
16.3,121.0,4.412107
16.3,121.1,3.9009848
16.3,121.2,3.3293772
16.3,121.3,3.2986763
16.3,121.4,3.1225019
16.3,121.5,2.7606041
16.3,121.6,2.926004
16.3,121.7,3.0903852
16.3,121.8,3.200127
16.3,121.9,3.5036836
16.3,122.0,4.9254436
16.3,122.1,6.3421164
16.2,119.8,6.007723
16.2,119.9,6.0063057
16.2,120.0,6.1270185
16.2,120.5,3.7974527
16.2,120.6,2.4016519
16.2,120.7,2.7824929
16.2,120.8,3.6760511
16.2,120.9,4.6264625
16.2,121.0,4.700702
16.2,121.1,4.3233137
16.2,121.2,3.9900534
16.2,121.3,3.6391947
16.2,121.4,3.2091777
16.2,121.5,2.8037434
16.2,121.6,2.9296794
16.2,121.7,3.2464902
16.2,121.8,3.5770085
16.2,121.9,4.6783605
16.2,122.0,6.4181137
16.1,119.8,6.28077
16.1,119.9,6.2600827
16.1,120.0,6.3898916
16.1,120.5,3.319808
16.1,120.6,2.6834574
16.1,120.7,3.102712
16.1,120.8,3.9080915
16.1,120.9,4.8593884
16.1,121.0,4.970504
16.1,121.1,4.549913
16.1,121.2,4.326772
16.1,121.3,3.8421593
16.1,121.4,3.2550669
16.1,121.5,2.8756173
16.1,121.6,2.9758222
16.1,121.7,3.4787436
16.0,119.8,6.3661036
16.0,119.9,6.330835
16.0,120.0,5.4929976
16.0,120.1,4.551659
16.0,120.2,4.280968
16.0,120.3,4.1021705
16.0,120.4,3.8170977
16.0,120.5,3.5530398
16.0,120.6,3.6100368
16.0,120.7,3.743768
16.0,120.8,4.1921887
16.0,120.9,5.313897
16.0,121.0,5.4293466
16.0,121.1,4.9705095
16.0,121.2,4.631864
16.0,121.3,4.2794237
16.0,121.4,3.7642176
16.0,121.5,3.384588
16.0,121.6,3.5839858
15.9,120.0,4.6028438
15.9,120.1,4.87072
15.9,120.2,4.740653
15.9,120.3,4.5699596
15.9,120.4,4.2796254
15.9,120.5,4.466965
15.9,120.6,4.3754387
15.9,120.7,4.4722204
15.9,120.8,4.8659267
15.9,120.9,5.7658267
15.9,121.0,5.904065
15.9,121.1,5.467796
15.9,121.2,5.05039
15.9,121.3,4.664615
15.9,121.4,4.2345343
15.9,121.5,4.184786
15.9,121.6,4.20123
15.8,120.0,4.4861665
15.8,120.1,4.8521643
15.8,120.2,4.8346977
15.8,120.3,4.8699017
15.8,120.4,5.143661
15.8,120.5,5.030586
15.8,120.6,4.942803
15.8,120.7,5.0510917
15.8,120.8,5.4402685
15.8,120.9,6.30123
15.8,121.0,6.1376605
15.8,121.1,5.5933137
15.8,121.2,5.1326637
15.8,121.3,4.614646
15.8,121.4,4.253295
15.8,121.5,4.3674116
15.7,120.0,4.156409
15.7,120.1,4.6161757
15.7,120.2,4.633587
15.7,120.3,5.20063
15.7,120.4,5.6122303
15.7,120.5,5.513986
15.7,120.6,5.419486
15.7,120.7,5.542093
15.7,120.8,6.125197
15.7,120.9,6.594787
15.7,121.0,6.3618016
15.7,121.1,5.6354275
15.7,121.2,5.091106
15.7,121.3,4.470441
15.7,121.4,4.419665
15.7,121.5,4.854189
15.6,120.0,3.7680368
15.6,120.1,4.442186
15.6,120.2,5.0171046
15.6,120.3,5.648532
15.6,120.4,6.069842
15.6,120.5,5.970841
15.6,120.6,5.863944
15.6,120.7,5.8125005
15.6,120.8,6.3354187
15.6,120.9,6.854756
