Longitude,Latitude,max_wind_speed,Return_Period
122.1,16.6,4.811884880065918,< 7-year
122.2,16.6,5.442862510681152,< 7-year
122.3,16.6,6.0265116691589355,< 7-year
120.3,16.5,6.1202521324157715,< 7-year
120.4,16.5,4.754426002502441,< 7-year
120.5,16.5,4.102031230926514,< 7-year
120.6,16.5,3.7100515365600586,< 7-year
120.7,16.5,3.4235970973968506,< 7-year
120.8,16.5,3.1554431915283203,< 7-year
120.9,16.5,3.6105124950408936,< 7-year
121.0,16.5,3.5473127365112305,< 7-year
121.1,16.5,3.137581586837769,< 7-year
121.2,16.5,2.892883539199829,< 7-year
121.3,16.5,2.770873785018921,< 7-year
121.4,16.5,2.759862184524536,< 7-year
121.5,16.5,2.6720051765441895,< 7-year
121.6,16.5,2.2556817531585693,< 7-year
121.7,16.5,2.212890625,< 7-year
121.8,16.5,2.881709575653076,< 7-year
121.9,16.5,3.7483077049255367,< 7-year
122.0,16.5,4.662041664123535,< 7-year
122.1,16.5,5.626247882843018,< 7-year
122.2,16.5,7.120920658111572,< 7-year
120.4,16.4,7.552501201629639,< 7-year
120.5,16.4,6.207292079925537,< 7-year
120.6,16.4,4.935563564300537,< 7-year
120.7,16.4,4.033434867858887,< 7-year
120.8,16.4,3.4313650131225586,< 7-year
120.9,16.4,3.9391169548034672,< 7-year
121.0,16.4,3.822831392288208,< 7-year
121.1,16.4,3.295176267623902,< 7-year
121.2,16.4,2.847280263900757,< 7-year
121.3,16.4,2.57901668548584,< 7-year
121.4,16.4,2.4736433029174805,< 7-year
121.5,16.4,2.3749852180480957,< 7-year
121.6,16.4,2.191023588180542,< 7-year
121.7,16.4,2.4546456336975098,< 7-year
121.8,16.4,3.2382259368896484,< 7-year
121.9,16.4,4.304768085479736,< 7-year
122.0,16.4,5.395257472991943,< 7-year
122.1,16.4,6.9652910232543945,< 7-year
122.2,16.4,8.490153312683105,< 7-year
119.8,16.3,16.99874496459961,< 7-year
120.4,16.3,9.971578598022461,< 7-year
120.5,16.3,8.326337814331055,< 7-year
120.6,16.3,6.733786582946777,< 7-year
120.7,16.3,5.346400260925293,< 7-year
120.8,16.3,4.253345966339111,< 7-year
120.9,16.3,3.755703449249267,< 7-year
121.0,16.3,3.741353034973145,< 7-year
121.1,16.3,3.298980236053467,< 7-year
121.2,16.3,2.9971795082092285,< 7-year
121.3,16.3,2.7686927318573,< 7-year
121.4,16.3,2.7135918140411377,< 7-year
121.5,16.3,2.7313160896301274,< 7-year
121.6,16.3,2.832519054412842,< 7-year
121.7,16.3,3.1100375652313232,< 7-year
121.8,16.3,4.085000514984131,< 7-year
121.9,16.3,5.268866062164307,< 7-year
122.0,16.3,6.926851749420166,< 7-year
122.1,16.3,8.569025993347168,< 7-year
119.8,16.2,17.78489875793457,< 7-year
119.9,16.2,17.496246337890625,< 7-year
120.0,16.2,17.322542190551754,< 7-year
120.5,16.2,11.397395133972168,< 7-year
120.6,16.2,8.774489402770996,< 7-year
120.7,16.2,6.629499435424805,< 7-year
120.8,16.2,5.081827163696289,< 7-year
120.9,16.2,4.103168487548828,< 7-year
121.0,16.2,3.8432071208953857,< 7-year
121.1,16.2,3.452134370803833,< 7-year
121.2,16.2,3.438318252563477,< 7-year
121.3,16.2,3.204169988632202,< 7-year
121.4,16.2,3.0229923725128174,< 7-year
121.5,16.2,3.099491596221924,< 7-year
121.6,16.2,3.7692961692810054,< 7-year
121.7,16.2,4.568562030792236,< 7-year
121.8,16.2,5.662887096405029,< 7-year
121.9,16.2,7.269149780273437,< 7-year
122.0,16.2,9.126607894897461,< 7-year
119.8,16.1,17.705957412719727,7-year
119.9,16.1,17.099241256713867,< 7-year
120.0,16.1,16.55891990661621,< 7-year
120.5,16.1,12.417515754699709,< 7-year
120.6,16.1,9.731396675109863,< 7-year
120.7,16.1,7.49446725845337,< 7-year
120.8,16.1,5.7870330810546875,< 7-year
120.9,16.1,5.003260612487793,< 7-year
121.0,16.1,4.680972099304199,< 7-year
121.1,16.1,4.140480041503906,< 7-year
121.2,16.1,3.964363813400269,< 7-year
121.3,16.1,3.76941442489624,< 7-year
121.4,16.1,3.694328546524048,< 7-year
121.5,16.1,3.98998498916626,< 7-year
121.6,16.1,5.226988792419434,< 7-year
121.7,16.1,6.693599700927734,< 7-year
119.8,16.0,17.942312240600582,< 7-year
119.9,16.0,16.849384307861328,< 7-year
120.0,16.0,15.967171669006348,< 7-year
120.1,16.0,15.525999069213867,< 7-year
120.2,16.0,14.900303840637209,< 7-year
120.3,16.0,14.465476036071776,< 7-year
120.4,16.0,13.83998966217041,< 7-year
120.5,16.0,11.867151260375977,< 7-year
120.6,16.0,9.897867202758789,< 7-year
120.7,16.0,8.075264930725098,< 7-year
120.8,16.0,6.582056045532227,< 7-year
120.9,16.0,6.146383285522461,< 7-year
121.0,16.0,5.818638324737549,< 7-year
121.1,16.0,5.180290222167969,< 7-year
121.2,16.0,4.694693565368652,< 7-year
121.3,16.0,4.655077934265137,< 7-year
121.4,16.0,4.742628574371338,< 7-year
121.5,16.0,4.987695693969727,< 7-year
121.6,16.0,6.7742204666137695,< 7-year
120.0,15.9,15.266880989074709,24-year
120.1,15.9,13.78920555114746,7-year
120.2,15.9,13.301915168762209,15-year
120.3,15.9,13.02619171142578,< 7-year
120.4,15.9,12.588302612304688,< 7-year
120.5,15.9,11.321783065795898,< 7-year
120.6,15.9,10.016968727111816,< 7-year
120.7,15.9,8.911652565002441,< 7-year
120.8,15.9,7.732539653778077,< 7-year
120.9,15.9,7.605803966522218,< 7-year
121.0,15.9,7.124022960662842,< 7-year
121.1,15.9,6.454988479614258,< 7-year
121.2,15.9,5.800221920013428,< 7-year
121.3,15.9,5.55824613571167,< 7-year
121.4,15.9,5.842694282531738,< 7-year
121.5,15.9,6.513181209564209,< 7-year
121.6,15.9,7.46098232269287,< 7-year
120.0,15.8,13.711068153381348,10-year
120.1,15.8,11.539473533630373,10-year
120.2,15.8,11.008455276489256,12-year
120.3,15.8,11.263580322265623,9-year
120.4,15.8,11.735938072204588,10-year
120.5,15.8,11.216148376464844,7-year
120.6,15.8,10.691508293151855,< 7-year
120.7,15.8,9.776223182678223,< 7-year
120.8,15.8,8.47421646118164,< 7-year
120.9,15.8,8.413633346557617,< 7-year
121.0,15.8,7.837548732757568,< 7-year
121.1,15.8,6.92136287689209,< 7-year
121.2,15.8,6.0815887451171875,< 7-year
121.3,15.8,5.655320644378662,< 7-year
121.4,15.8,6.105381965637207,< 7-year
121.5,15.8,6.719776630401611,< 7-year
120.0,15.7,11.792719841003418,< 7-year
120.1,15.7,9.370482444763184,14-year
120.2,15.7,9.738306045532227,10-year
120.3,15.7,10.512681007385252,13-year
120.4,15.7,11.189756393432615,10-year
120.5,15.7,11.214460372924805,7-year
120.6,15.7,11.211052894592283,9-year
120.7,15.7,10.597614288330078,< 7-year
120.8,15.7,9.248633384704588,< 7-year
120.9,15.7,8.875864028930664,< 7-year
121.0,15.7,8.156874656677246,< 7-year
121.1,15.7,6.9790449142456055,< 7-year
121.2,15.7,5.812511444091797,< 7-year
121.3,15.7,5.513797760009766,< 7-year
121.4,15.7,5.951544761657715,< 7-year
121.5,15.7,7.041720390319824,< 7-year
120.0,15.6,13.017518043518066,50-year
120.1,15.6,8.690216064453125,9-year
120.2,15.6,9.042895317077637,20-year
120.3,15.6,9.865744590759277,250-year or greater
120.4,15.6,10.672643661499023,250-year or greater
120.5,15.6,11.106080055236816,8-year
120.6,15.6,11.55894660949707,8-year
120.7,15.6,11.194575309753418,9-year
120.8,15.6,10.048568725585936,< 7-year
120.9,15.6,9.467777252197264,< 7-year
121.0,15.6,8.598989486694336,< 7-year
121.1,15.6,7.234643459320068,< 7-year
121.2,15.6,6.004305362701416,< 7-year
121.3,15.6,5.8474907875061035,< 7-year
121.4,15.6,6.421396732330322,< 7-year
121.5,15.6,7.467955589294434,< 7-year
120.0,15.5,13.701533317565918,100-year
120.1,15.5,8.97573184967041,27-year
120.2,15.5,9.193974494934082,50-year
120.3,15.5,9.72525405883789,22-year
120.4,15.5,10.3597412109375,21-year
120.5,15.5,10.77168560028076,10-year
120.6,15.5,11.20613956451416,11-year
120.7,15.5,11.123201370239256,< 7-year
120.8,15.5,10.43761920928955,7-year
120.9,15.5,10.09808349609375,< 7-year
121.0,15.5,9.45735454559326,< 7-year
121.1,15.5,8.348824501037598,< 7-year
121.2,15.5,7.412219047546388,< 7-year
121.3,15.5,8.13863468170166,< 7-year
121.4,15.5,9.14987850189209,< 7-year
121.5,15.5,9.96428108215332,< 7-year
119.9,15.4,19.558984756469727,100-year
120.0,15.4,14.3339204788208,250-year
120.1,15.4,10.390164375305176,50-year
120.2,15.4,9.8621826171875,19-year
120.3,15.4,10.912710189819336,250-year or greater
120.4,15.4,11.72306442260742,250-year or greater
120.5,15.4,11.67552089691162,20-year
120.6,15.4,11.636201858520508,9-year
120.7,15.4,11.408968925476074,10-year
120.8,15.4,11.054906845092772,7-year
120.9,15.4,10.968720436096191,7-year
121.0,15.4,10.496079444885252,< 7-year
121.1,15.4,10.036921501159668,< 7-year
121.2,15.4,10.15456485748291,< 7-year
121.3,15.4,11.083364486694336,< 7-year
120.0,15.3,13.834246635437012,50-year
120.1,15.3,12.251362800598145,100-year
120.2,15.3,10.708012580871582,250-year or greater
120.3,15.3,11.688525199890137,250-year or greater
120.4,15.3,12.501269340515137,250-year or greater
120.5,15.3,12.08272075653076,30-year
120.6,15.3,11.959755897521973,10-year
120.7,15.3,11.970314025878906,8-year
120.8,15.3,11.644638061523436,11-year
120.9,15.3,11.52599048614502,22-year
121.0,15.3,11.245036125183104,< 7-year
121.1,15.3,11.379663467407227,< 7-year
121.2,15.3,11.825321197509764,< 7-year
121.3,15.3,13.2279634475708,< 7-year
121.4,15.3,14.735773086547852,< 7-year
120.1,15.2,12.226250648498535,50-year
120.2,15.2,10.569458961486816,250-year or greater
120.3,15.2,10.665145874023436,30-year
120.4,15.2,11.661676406860352,250-year or greater
120.5,15.2,11.46928596496582,12-year
120.6,15.2,11.962781906127928,11-year
120.7,15.2,12.074893951416016,9-year
120.8,15.2,11.640615463256836,7-year
120.9,15.2,11.454673767089844,7-year
121.0,15.2,10.972022056579588,11-year
121.1,15.2,10.730215072631836,10-year
121.2,15.2,10.829285621643066,< 7-year
121.3,15.2,12.224071502685547,< 7-year
120.1,15.1,13.037976264953612,100-year
120.2,15.1,11.059444427490234,250-year or greater
120.3,15.1,9.491584777832031,9-year
120.4,15.1,10.915611267089844,30-year
120.5,15.1,11.278541564941406,12-year
120.6,15.1,12.121966361999512,14-year
120.7,15.1,12.426339149475096,7-year
120.8,15.1,11.880914688110352,< 7-year
120.9,15.1,11.483864784240723,< 7-year
121.0,15.1,10.7983341217041,7-year
121.1,15.1,9.991309165954588,8-year
121.2,15.1,10.041293144226074,8-year
121.3,15.1,10.99686336517334,8-year
121.4,15.1,11.953369140625,< 7-year
120.1,15.0,14.346792221069336,50-year
120.2,15.0,11.962723731994627,250-year or greater
120.3,15.0,10.039237976074219,20-year
120.4,15.0,10.688176155090332,17-year
120.5,15.0,12.123229026794432,30-year
120.6,15.0,13.500953674316406,26-year
120.7,15.0,13.997111320495604,16-year
120.8,15.0,13.054919242858887,7-year
120.9,15.0,12.211759567260742,< 7-year
121.0,15.0,11.007474899291992,< 7-year
121.1,15.0,9.719692230224608,< 7-year
121.2,15.0,9.480321884155272,8-year
121.3,15.0,9.979345321655272,8-year
121.4,15.0,10.68521499633789,< 7-year
121.5,15.0,12.135961532592772,< 7-year
121.9,15.0,19.703245162963867,< 7-year
122.0,15.0,20.495452880859375,< 7-year
120.1,14.9,14.86314582824707,28-year
120.2,14.9,12.791048049926756,15-year
120.3,14.9,11.848258018493652,250-year or greater
120.4,14.9,11.66768169403076,50-year
