osm_id,man_made,tower_type,telecom,communication_mobile_phone,name,geometry
9471793849,utility_pole,,distribution_point,,,POINT (120.9677934 14.273002000000002)
5875587868,utility_pole,,distribution_point,,,POINT (120.9666469 14.273038600000001)
9471793848,utility_pole,,distribution_point,,,POINT (120.96811770000001 14.273086500000002)
5875587867,utility_pole,,distribution_point,,,POINT (120.96706520000001 14.2731411)
5875525929,utility_pole,,distribution_point,,,POINT (120.96744410000001 14.273227100000001)
9471793850,utility_pole,,distribution_point,,,POINT (120.9677712 14.273318300000001)
5470126406,utility_pole,,distribution_point,,,POINT (120.96619620000001 14.2733533)
9471793851,utility_pole,,distribution_point,,,POINT (120.9680445 14.2733854)
5470126402,utility_pole,,distribution_point,,,POINT (120.96652590000001 14.2734023)
5470126401,utility_pole,,distribution_point,,,POINT (120.9669621 14.2734295)
5470126400,utility_pole,,distribution_point,,,POINT (120.9673592 14.2735187)
1027407115,,,,,,"LINESTRING (120.9684598 14.2731619, 120.9683713 14.2734522, 120.9680445 14.2733854, 120.9677712 14.2733183, 120.9674441 14.2732271, 120.9670652 14.2731411, 120.9666469 14.2730386, 120.9663073 14.2730019, 120.9661962 14.2733533, 120.9660602 14.2737832, 120.9659799 14.2740371)"
5470126399,utility_pole,,distribution_point,,,POINT (120.9676826 14.2736055)
5470126398,utility_pole,,distribution_point,,,POINT (120.96797020000001 14.2736785)
5591129325,utility_pole,,distribution_point,,,POINT (120.9664199 14.273752700000001)
5470126407,utility_pole,,distribution_point,,,POINT (120.9660602 14.2737832)
5875525925,utility_pole,,distribution_point,,,POINT (120.9667787 14.273833100000001)
621966926,,,,,,"LINESTRING (120.9669621 14.2734295, 120.9667787 14.2738331, 120.966646 14.2742645)"
5875525930,utility_pole,,distribution_point,,,POINT (120.967241 14.273883000000001)
5875525922,utility_pole,,distribution_point,,,POINT (120.9674866 14.273953800000001)
5406721042,utility_pole,,distribution_point,,,POINT (120.9683713 14.273452200000001)
5875568919,utility_pole,,distribution_point,,,POINT (120.9696447 14.2734652)
5875587866,utility_pole,,distribution_point,,,POINT (120.968731 14.2735493)
5875587865,utility_pole,,distribution_point,,,POINT (120.9690882 14.273635800000001)
5875547186,utility_pole,,distribution_point,,,POINT (120.97004510000001 14.2736826)
5875587864,utility_pole,,distribution_point,,,POINT (120.9694553 14.273724600000001)
5406721041,utility_pole,,distribution_point,,,POINT (120.96829000000001 14.273753500000002)
621970843,,,,,,"LINESTRING (120.9663073 14.2730019, 120.9663876 14.2727479, 120.9667146 14.2727352, 120.9670702 14.2728282, 120.9675253 14.2729379, 120.9677934 14.273002, 120.9681177 14.2730865, 120.9684598 14.2731619, 120.9688474 14.2732697, 120.9692879 14.2733773, 120.9696447 14.2734652, 120.9700451 14.2736826, 120.9702846 14.2739627, 120.9705682 14.2743195, 120.9707835 14.2746912, 120.9712871 14.2747984, 120.9715684 14.2748549, 120.9718477 14.2749128)"
5470126391,utility_pole,,distribution_point,,,POINT (120.9687033 14.273862600000001)
5875547187,utility_pole,,distribution_point,,,POINT (120.96983340000001 14.273874800000002)
5470126392,utility_pole,,distribution_point,,,POINT (120.96896960000001 14.273930400000001)
5875568918,utility_pole,,distribution_point,,,POINT (120.97028460000001 14.2739627)
5470126393,utility_pole,,distribution_point,,,POINT (120.9693294 14.274021300000001)
5470126394,utility_pole,,distribution_point,,,POINT (120.96959480000001 14.2740974)
5406721040,utility_pole,,distribution_point,,,POINT (120.9681676 14.2741454)
5875587863,utility_pole,,distribution_point,,,POINT (120.97007430000001 14.2741901)
5875544102,utility_pole,,distribution_point,,,POINT (120.96853220000001 14.274230600000001)
5875544098,utility_pole,,distribution_point,,,POINT (120.96883840000001 14.2743032)
5875568917,utility_pole,,distribution_point,,,POINT (120.9705682 14.2743195)
621972683,,,,,,"LINESTRING (120.9683713 14.2734522, 120.968731 14.2735493, 120.9690882 14.2736358, 120.9694553 14.2737246, 120.9698334 14.2738748, 120.9700743 14.2741901, 120.9703167 14.2744808, 120.9705465 14.2747633, 120.9707661 14.2750557, 120.9710498 14.2751948, 120.9714031 14.2750863, 120.9715684 14.2748549)"
7959815851,tower,communication,,,,POINT (120.8698466 14.0820942)
9027787459,tower,communication,,,Globe Cellsite,POINT (120.7906312 14.092700200000001)
