osm_id,pipeline,man_made,amenity,name,geometry
,,,fuel,Petron,"POLYGON ((120.3993902 14.8479414, 120.3994043 14.847707, 120.3989118 14.8476793, 120.3988977 14.8479136, 120.3993902 14.8479414))"
,,,fuel,PTT,"POLYGON ((120.5165285 14.7014714, 120.5166119 14.7011095, 120.5163061 14.7010436, 120.5162227 14.7014054, 120.5165285 14.7014714))"
,,,fuel,Uno Fuel,"POLYGON ((120.5161022 14.7051782, 120.5160753 14.70485, 120.5158353 14.7048682, 120.5158044 14.7051899, 120.5161022 14.7051782))"
,,,fuel,Vinper Gas Station,"POLYGON ((120.5147704 14.7119571, 120.5147758 14.7116095, 120.514462 14.7116899, 120.5144405 14.7119234, 120.5147704 14.7119571))"
,,,fuel,,"POLYGON ((120.5369969 14.7155165, 120.53701 14.715446, 120.536943 14.7154344, 120.5369298 14.7155048, 120.5369969 14.7155165))"
,,,fuel,Jetti,"POLYGON ((120.5366924 14.7157556, 120.5367021 14.7157065, 120.5366458 14.7156961, 120.5366361 14.7157452, 120.5366924 14.7157556))"
18125029,,,fuel,Petron,"MULTIPOLYGON (((120.5363794 14.7169027, 120.5363792 14.7168284, 120.5363041 14.7168286, 120.5363043 14.7169028, 120.5363794 14.7169027)), ((120.5364948 14.7167821, 120.5364325 14.7167789, 120.5364288 14.7168473, 120.5364911 14.7168504, 120.5364948 14.7167821)))"
,,,fuel,Unioil,"POLYGON ((120.5126341 14.7299243, 120.5123551 14.7299464, 120.5123176 14.7303498, 120.5125563 14.7303757, 120.5126341 14.7299243))"
,,,fuel,Total,"POLYGON ((120.5357517 14.7303993, 120.5357389 14.7303367, 120.5356196 14.7303594, 120.5356323 14.730422, 120.5357517 14.7303993))"
,,,fuel,Petron,"POLYGON ((120.5371531 14.7383788, 120.5371261 14.7383053, 120.5370435 14.7383337, 120.5370705 14.7384071, 120.5371531 14.7383788))"
,,,fuel,Caltex,"POLYGON ((120.4987198 14.7608816, 120.4988713 14.7605911, 120.4986361 14.7605682, 120.498518 14.760847, 120.4987198 14.7608816))"
,,,fuel,Malibiran Gas Station,"POLYGON ((120.5417616 14.7659985, 120.5417402 14.7659155, 120.5416752 14.7659312, 120.5416966 14.7660142, 120.5417616 14.7659985))"
,,,fuel,Petron,"POLYGON ((120.5419628 14.766475, 120.54194 14.7663946, 120.5418938 14.7664069, 120.5419166 14.7664873, 120.5419628 14.766475))"
,,,fuel,Petron,"POLYGON ((120.4912629 14.7910298, 120.4913856 14.7907284, 120.4911434 14.7906524, 120.4910845 14.7909844, 120.4912629 14.7910298))"
