osm_id,man_made,pump,pipeline,emergency,name,geometry
726828842,water_tower,,,water_tank,,"LINESTRING (120.8916033 14.3718239, 120.8916146 14.3718125, 120.8916304 14.3718088, 120.8916458 14.371814, 120.8916559 14.3718264, 120.8916576 14.3718421, 120.8916527 14.3718532, 120.8916436 14.3718613, 120.8916317 14.371865, 120.8916194 14.3718635, 120.8916061 14.3718542, 120.8916001 14.3718395, 120.8916033 14.3718239)"
642174379,water_tower,,,,,"LINESTRING (120.9100728 14.3718378, 120.910076 14.3718308, 120.9100818 14.3718248, 120.9100894 14.3718211, 120.9100978 14.37182, 120.9101061 14.3718217, 120.9101133 14.371826, 120.9101186 14.3718325, 120.9101214 14.3718402, 120.9101213 14.3718485, 120.9101183 14.3718562, 120.9101129 14.3718625, 120.9101061 14.3718664, 120.9100985 14.3718681, 120.9100907 14.3718674, 120.9100835 14.3718644, 120.9100776 14.3718593, 120.9100736 14.3718528, 120.910072 14.3718453, 120.9100728 14.3718378)"
726828843,water_tower,,,water_tank,,"LINESTRING (120.8900799 14.3719681, 120.8900912 14.3719568, 120.890107 14.3719531, 120.8901224 14.3719582, 120.8901326 14.3719706, 120.8901342 14.3719863, 120.8901294 14.3719974, 120.8901202 14.3720056, 120.8901083 14.3720092, 120.890096 14.3720077, 120.8900827 14.3719985, 120.8900767 14.3719837, 120.8900799 14.3719681)"
1377645720,water_tower,,,,,"LINESTRING (120.8201527 14.3722865, 120.8201145 14.3722685, 120.8201316 14.3722335, 120.8201682 14.3722525, 120.8201527 14.3722865)"
6042721029,,,,fire_hydrant,,POINT (120.90940440000001 14.3730893)
9643034871,water_tower,,,,,POINT (120.83488670000001 14.3735855)
827679993,water_tower,,,,,"LINESTRING (120.8918146 14.3741081, 120.8918251 14.3741162, 120.89183 14.3741284, 120.891828 14.3741412, 120.8918196 14.3741514, 120.8918071 14.3741562, 120.8917938 14.3741542, 120.8917833 14.3741461, 120.8917784 14.374134, 120.8917804 14.3741211, 120.8917888 14.3741109, 120.8918013 14.3741062, 120.8918146 14.3741081)"
10632534391,water_tower,,,,,POINT (120.81492840000001 14.3741766)
6042721028,,,,fire_hydrant,,POINT (120.9091393 14.374534200000001)
5441753849,water_tower,,,,,POINT (120.85319550000001 14.3759954)
