osm_id,railway,name,gauge,electrified,voltage,geometry
,platform,,,,,"POLYGON ((121.2399897 14.1818136, 121.2399901 14.1818381, 121.2405016 14.1818304, 121.2405012 14.1818059, 121.2399897 14.1818136))"
109359340,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2364533 14.1818518, 121.2371621 14.1818403, 121.2389177 14.181815, 121.240248 14.1817952)"
10906823492,switch,,,,,POINT (121.2371621 14.181840300000001)
109359290,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2363308 14.1818533, 121.2364533 14.1818518)"
12919658422,station,College,,,,POINT (121.24024940000001 14.181861600000001)
148921913,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2311575 14.1819357, 121.2358736 14.1818606, 121.2363308 14.1818533)"
148921912,rail,PNR South Main Line,1067,no,,"LINESTRING (121.2310463 14.1819373, 121.2311575 14.1819357)"
128952952,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1751465 14.1836053, 121.1752615 14.1835293)"
128952955,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1725059 14.1853497, 121.1732599 14.184861, 121.1751465 14.1836053)"
128952953,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1721274 14.1856099, 121.1725059 14.1853497)"
115446437,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1633075 14.1916139, 121.1634241 14.1915052, 121.1635919 14.1913533, 121.164082 14.190954, 121.1644336 14.1906857, 121.1647969 14.1904252, 121.1648502 14.1903904, 121.1651343 14.1902054, 121.1678925 14.1883879, 121.1698102 14.1871249, 121.1718609 14.1857829, 121.1721274 14.1856099)"
115446373,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1632343 14.1916904, 121.1632587 14.1916633, 121.1633075 14.1916139)"
87212571,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1612401 14.1946596, 121.161914 14.1934222, 121.1620577 14.1931941, 121.1622081 14.1929699, 121.1623656 14.1927505, 121.1626484 14.1923771, 121.1629367 14.1920182, 121.1630566 14.191885, 121.1632343 14.1916904)"
807395777,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1611572 14.1948199, 121.1612401 14.1946596)"
527033212,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1594888 14.1980978, 121.1595503 14.1979438, 121.1596369 14.1977506, 121.1607796 14.1955633, 121.1611572 14.1948199)"
1174525940,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1591522 14.1999032, 121.1591525 14.1997864, 121.1591619 14.1995771, 121.15918 14.1993684, 121.159207 14.1991594, 121.1592428 14.1989517, 121.1592872 14.1987456, 121.1593403 14.1985414, 121.1594019 14.1983395, 121.1594719 14.1981402, 121.1594888 14.1980978)"
576990330,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1595827 14.2027511, 121.1593248 14.2012895, 121.159306 14.2011839, 121.1592839 14.2010581, 121.1592368 14.200829, 121.1592025 14.2006222, 121.1591769 14.2004141, 121.15916 14.2002053, 121.1591519 14.1999959, 121.1591522 14.1999032)"
657653053,rail,PNR South Main Line,1067,no,,"LINESTRING (121.1595827 14.2027511, 121.1595923 14.2028138, 121.1596054 14.2029551, 121.15961 14.2030969, 121.1596061 14.2032387, 121.1595938 14.2033801, 121.1595732 14.2035203, 121.1595442 14.203659, 121.159507 14.203796, 121.159465 14.2039208)"
253799832,switch,,,,,POINT (121.15925730000001 14.2044709)
