osm_id,amenity,building,healthcare,name,geometry
,hospital,,,Naic Doctors Hospital,"POLYGON ((120.7713852 14.3149612, 120.7715821 14.3147681, 120.770972 14.3142732, 120.7707689 14.3144492, 120.7713852 14.3149612))"
937408383,doctors,,,Holy Spirit,POINT (120.76799290000001 14.315725100000002)
16086107,hospital,,hospital,First Filipino Saint Hospital,"POLYGON ((120.7718904 14.3169508, 120.7723597 14.3169944, 120.7726293 14.3167423, 120.7726541 14.3166253, 120.772583 14.3166097, 120.7723155 14.3163081, 120.7721391 14.3163771, 120.7719527 14.316357, 120.7718904 14.3169508))"
,,hospital,,,"POLYGON ((120.7719742 14.3168904, 120.7721019 14.3169075, 120.7721521 14.3168769, 120.7721638 14.3168168, 120.7722226 14.3168236, 120.7722107 14.3169066, 120.7723392 14.3169282, 120.7723539 14.3167872, 120.7724133 14.3167917, 120.7724469 14.3165475, 120.7720851 14.3164887, 120.7720325 14.3164817, 120.7719742 14.3168904))"
4843811823,doctors,,,Saddle Equine Racetrack,POINT (120.818392 14.3176669)
,doctors,,doctor,Naic Rural Health Unit,"POLYGON ((120.7644265 14.3191742, 120.7645344 14.3190443, 120.7643179 14.3188631, 120.7642012 14.3190417, 120.7644265 14.3191742))"
919301346,doctors,,,Villa Apolonia Maternity and Pediatric Clinic,POINT (120.7771287 14.324112300000001)
8857382811,hospital,,hospital,St. Therese Maternity Lying-in Clinic,POINT (120.77677870000001 14.327453100000001)
,hospital,,,Naic Medicare Hospital,"POLYGON ((120.7760044 14.3270623, 120.7758637 14.3273509, 120.775818 14.327435, 120.775778 14.3275066, 120.7757489 14.3275586, 120.7757782 14.3275839, 120.7758086 14.3276101, 120.775871 14.3276639, 120.7761603 14.3279308, 120.7764359 14.3274009, 120.7760044 14.3270623))"
,,hospital,,,"POLYGON ((120.817336 14.3662757, 120.8174534 14.3661328, 120.8172872 14.3660048, 120.8171699 14.3661477, 120.817336 14.3662757))"
,hospital,,hospital,Tanza Doctors Hospital,"POLYGON ((120.8174429 14.366774, 120.8177886 14.3663177, 120.8172999 14.3659653, 120.8170247 14.3663054, 120.8169268 14.3664265, 120.8174429 14.366774))"
,,hospital,,,"POLYGON ((120.8174588 14.3666834, 120.8176153 14.3664735, 120.8174831 14.3663809, 120.8175445 14.3662986, 120.817407 14.3662041, 120.8171694 14.3664808, 120.8174588 14.3666834))"
,hospital,hospital,,Manas Hospital,"POLYGON ((120.823672 14.3705914, 120.8238529 14.3707013, 120.8239656 14.3705272, 120.8238117 14.3704337, 120.8238584 14.3703615, 120.8237599 14.3703017, 120.8237002 14.370394, 120.8237717 14.3704374, 120.823672 14.3705914))"
4266677142,clinic,,,Hagonoy RHU II,POINT (120.7294925 14.816109200000001)
