osm_id,power,voltage,utility,name,geometry
12369113900,pole,,,,POINT (120.93845280000001 14.3675735)
12388078809,pole,,,,POINT (120.93863580000001 14.3675738)
12388078808,pole,,,,POINT (120.93863520000001 14.367582800000001)
2307226322,tower,,,,POINT (120.9384395 14.3677582)
12369121990,pole,,,,POINT (120.9384639 14.3678372)
12388061488,pole,,,,POINT (120.9386503 14.3678612)
12369121993,pole,,,,POINT (120.93843980000001 14.367862200000001)
12369121991,pole,,,,POINT (120.9384656 14.3678667)
12388061487,pole,,,,POINT (120.9386511 14.3678758)
12369121992,pole,,,,POINT (120.93844410000001 14.367876800000001)
12369121994,pole,,,,POINT (120.93846900000001 14.3681155)
12388061484,pole,,,,POINT (120.93866820000001 14.3681522)
12369121995,pole,,,,POINT (120.9384904 14.3681525)
12388061485,pole,,,,POINT (120.93866340000001 14.3681535)
12388061477,pole,,,,POINT (120.93867110000001 14.368256800000001)
12388061476,pole,,,,POINT (120.93867390000001 14.368305500000002)
12369122032,pole,,,,POINT (120.93849 14.3683908)
12369122033,pole,,,,POINT (120.93849110000001 14.368407000000001)
12369122034,pole,,,,POINT (120.93849270000001 14.368431500000002)
12369122066,pole,,,,POINT (120.9384988 14.368718000000001)
2307226323,tower,,,,POINT (120.93848700000001 14.368723200000002)
12369122065,pole,,,,POINT (120.9384988 14.3687301)
12369122064,pole,,,,POINT (120.93849940000001 14.3687391)
12369122063,pole,,,,POINT (120.93851420000001 14.368775800000002)
12290235191,pole,,,,POINT (120.9385273 14.369123)
12290235190,pole,,,,POINT (120.9385175 14.3691233)
12290235192,pole,,,,POINT (120.9385273 14.3691331)
12290235132,pole,,,,POINT (120.93855140000001 14.369444600000001)
12290235133,pole,,,,POINT (120.93854270000001 14.369480300000001)
12290235134,pole,,,,POINT (120.9385307 14.369515700000001)
2307226324,tower,,,,POINT (120.93853030000001 14.369535800000001)
12290235141,pole,,,,POINT (120.9385551 14.3697479)
12280436923,pole,,,,POINT (120.9371674 14.369755000000001)
12290235142,pole,,,,POINT (120.93855950000001 14.369758800000001)
12290235143,pole,,,,POINT (120.93855620000001 14.3697665)
12290235144,pole,,,,POINT (120.9385603 14.369776600000002)
12280436920,pole,,,,POINT (120.93762410000001 14.370166200000002)
12290235145,pole,,,,POINT (120.9385685 14.370219200000001)
12290235146,pole,,,,POINT (120.9385685 14.3702292)
12290235150,pole,,,,POINT (120.9385804 14.370433)
12290235151,pole,,,,POINT (120.93858510000001 14.370437200000001)
12290235152,pole,,,,POINT (120.9385824 14.3704426)
12280436924,pole,,,,POINT (120.9375074 14.370462400000001)
12280436919,pole,,,,POINT (120.9379741 14.370473500000001)
2307226337,tower,,,,POINT (120.9385795 14.370493000000002)
12290235166,pole,,,,POINT (120.9385876 14.3705805)
12280436925,pole,,,,POINT (120.93766760000001 14.370665700000002)
12395485623,pole,,,,POINT (120.9387447 14.3697727)
12395485031,pole,,,,POINT (120.9387521 14.3698926)
12395485029,pole,,,,POINT (120.93875910000001 14.370052000000001)
12395485030,pole,,,,POINT (120.9387604 14.3700761)
12395485028,pole,,,,POINT (120.93875940000001 14.370328800000001)
12395485027,pole,,,,POINT (120.9387906 14.3705431)
12395485026,pole,,,,POINT (120.93881680000001 14.3710707)
12395485014,pole,,,,POINT (120.93883790000001 14.3713587)
12395485015,pole,,,,POINT (120.93883720000001 14.3713668)
