longitude_latitude,return_level_10years,return_level_25years,return_level_50years,return_level_100years,return_level_250years,return_level_500years,return_level_1000years
122.3505596633845_13.850063353803641,372.7076691848748,420.3036383164386,456.3085990368016,492.3135597571645,539.9095288887283,575.9144896090913,611.9194503294543
120.25055005739262_14.950068385513678,290.7697906938894,335.64237843549165,369.58718066425865,403.53198289302566,448.40457063462793,482.34937286339493,516.2941750921619
124.85057109908912_7.750035450684347,145.97604570016318,171.240610995145,177.49058047962143,179.93309744196975,181.04747219813044,181.3231471657761,181.43088221732182
124.75057064166094_12.150055577524494,324.06855093806746,335.8215136198671,338.5205885310306,339.51296534222683,339.9362594937761,340.0334692489179,340.0692106455075
120.3505505148208_15.350070215226417,363.16667940452095,405.5271072490624,413.97188958109143,416.7378211643104,417.77694084795087,417.984095024426,418.0519445268501
120.55055142967717_16.1500738746519,404.53501261762375,531.3844660496587,627.3423732328354,723.3002804160119,850.1497338480467,946.1076410312235,1042.0655482144
125.35057338623005_11.750053747811751,390.4442422933879,442.08673678196044,455.67781228462985,461.26666480864134,463.9642278192971,464.67416220403413,464.9660977890612
125.15057247137369_6.750030876402496,95.51123489325006,105.21112473030912,107.27084733648891,107.98113306653919,108.26348330135045,108.32343894737016,108.3441143721463
126.4505784179401_8.150037280397088,279.4763466923382,332.96301552392924,344.33720856120203,348.26422028480613,349.82731453845264,350.1597139225386,350.27447690167446
123.35056423766635_10.950050088386272,302.6109990119604,339.6576751510446,342.7676077858908,343.27575063318676,343.36594344844366,343.3735148046037,343.37475191515523
125.45057384365825_8.450038652681643,174.80936785763691,210.6354181724828,237.73677902062974,264.8381398687767,300.66419018362257,327.7655510317695,354.86691187991653
122.05055829109995_17.650080736074674,330.42535659729816,351.57894111756286,355.3244708711437,356.43843844509524,356.8150740957995,356.8817625586754,356.9015965448103
121.75055691881539_17.55008027864649,287.25849471182005,344.24169806970775,387.34782735031973,430.45395663093166,487.4371599888194,530.5432892694314,573.6494185500434
126.55057887536827_7.550034535827978,189.95004775566196,210.23256502525544,214.82414286407402,216.4926299246303,217.19517201645408,217.35421424266195,217.4120069896925
126.25057750308372_7.350033620971606,187.04908422629728,217.75819851110862,226.08830930543093,229.60022007754034,231.34278030304375,231.81546471880375,232.01474484034154
120.9505532593899_16.95007753407738,325.59081682685445,412.1424451870583,477.61622450603,543.0900038250016,629.6416321852055,695.1154115041771,760.5891908231488
120.9505532593899_16.850077076649193,316.8395690143078,404.10150665925653,470.11261420923563,536.1237217592147,623.3856594041634,689.3967669541427,755.4078745041218
125.0505720139455_8.550039110109829,187.44952583637232,205.66555155427733,209.63128850184768,211.0270097574387,211.59439167461605,211.7179140865394,211.76138718073162
125.25057292880187_11.150051003242641,376.4808318245784,417.9164779088925,426.53199140511015,429.4524115700433,430.59164645702066,430.828522057419,430.908816317336
124.65057018423276_7.050032248687051,85.12520053749728,94.0062565128572,100.72451600799009,107.44277550312296,116.3238314784829,123.04209097361577,129.76035046874864
121.55055600395902_16.550075704364637,278.54877682681536,332.8496305203688,373.9266406115873,415.00365070280577,469.30450439635916,510.38151448757765,551.4585245787962
125.0505720139455_6.950031791258866,107.2979582174864,150.42180530134914,183.0437362903695,215.66566727938988,258.7895143632526,291.41144535227295,324.0333763412933
119.95054868510806_11.950054662668123,439.41874580067645,472.65211584139564,474.9389846890851,475.2582013773317,475.30615359918494,475.30945330794754,475.3099139037112
120.55055142967717_15.050068842941862,298.27840190020004,331.24137489602845,340.91286671192006,345.26324888986204,347.58293958319706,348.2635477783022,348.5696955596901
118.35054136625709_9.250042312107125,123.4585465193955,163.37491868476428,193.57048856466005,223.76605844455577,263.6824306099246,293.87800048982035,324.0735703697161
126.05057658822736_9.75004459924805,281.0437057628811,322.8580579120743,335.1239660350035,340.64038123642376,343.5812407289775,344.44391850548357,344.8318953884467
121.55055600395902_13.950063811231825,309.3808731548367,328.2999773336365,332.6869380722055,334.3127242692269,335.0122703350755,335.174481034731,335.2345955267962
124.05056743966365_12.850058779521788,397.419072961863,427.37254363028023,432.0058926774677,433.2410460946621,433.61179683716034,433.66914637166053,433.6844345515043
123.15056332280999_10.650048716101717,208.52572956571134,234.23146316941626,240.27991738919317,242.5484801555386,243.53758446398126,243.77031667152804,243.85760634941693
120.85055280196173_15.750072044939158,350.4621608395724,401.7447536833316,440.53853758284765,479.3323214823637,530.6149143261229,569.4086982256389,608.2024821251549
125.45057384365825_7.450034078399792,130.86101812781368,169.75316047789,199.17393041272533,228.5947003475607,267.486842697637,296.90761263247236,326.3283825673077
