latitude,longitude,value
8.745833333333337,126.10416666666669,2834.9191147837587
8.745833333333337,126.1125,3008.215676022904
8.745833333333337,126.12083333333334,3180.25155251959
8.745833333333337,126.12916666666666,3247.2679775728056
8.745833333333337,126.1375,3247.2676624016203
8.745833333333337,126.14583333333331,3247.2679775728056
8.745833333333337,126.15416666666664,3247.2676624016203
8.745833333333337,126.16249999999997,3247.2679775728056
8.745833333333337,126.17083333333336,3312.1686584569893
8.745833333333337,126.17916666666667,3542.56257719568
8.745833333333337,126.1875,3804.291130379385
8.745833333333337,126.19583333333333,4058.96552208666
8.745833333333337,126.20416666666664,4193.734296911503
8.745833333333337,126.21249999999998,25833.492853232645
8.745833333333337,126.2208333333333,48073.37863438982
8.745833333333337,126.22916666666669,6500.364100710001
8.745833333333337,126.2375,2673.885549205701
8.745833333333337,126.24583333333334,0.0
8.745833333333337,126.25416666666666,0.0
8.754166666666679,126.00416666666666,382.7821417133409
8.754166666666679,126.0125,382.7822599025355
8.754166666666679,126.02083333333331,382.7821811097392
8.754166666666679,126.02916666666664,382.7822205061373
8.754166666666679,126.03749999999997,382.7821023169426
8.754166666666679,126.04583333333336,382.7822205061373
8.754166666666679,126.05416666666667,382.7821811097392
8.754166666666679,126.0625,393.404041010933
8.754166666666679,126.07083333333333,659.9747267048325
8.754166666666679,126.07916666666664,978.7162896995328
8.754166666666679,126.08749999999998,1196.042738325853
8.754166666666679,126.0958333333333,1448.246266730703
8.754166666666679,126.10416666666669,1826.0711202619052
8.754166666666679,126.1125,2146.31624679398
8.754166666666679,126.12083333333334,2203.4165984197884
8.754166666666679,126.12916666666666,2309.697207362497
8.754166666666679,126.1375,2481.5277498317546
8.754166666666679,126.14583333333331,2626.322750413377
8.754166666666679,126.15416666666664,2760.962305052117
8.754166666666679,126.16249999999997,2898.601974206726
8.754166666666679,126.17083333333336,3077.676883962934
8.754166666666679,126.17916666666667,3233.2006268740724
8.754166666666679,126.1875,3247.1942275153724
8.754166666666679,126.19583333333333,3247.194857857743
