longitude_latitude,return_level_10years,return_level_25years,return_level_50years,return_level_100years,return_level_150years,return_level_250years,return_level_500years
grid_123.4999999999994031_12.3999999999999222,31.06163014740067,34.64542259155966,37.356456919386964,40.067491247214264,41.65334466716102,43.65128369137325,46.36231801920056
grid_123.4999999999994031_12.4999999999999218,34.42115271814837,38.582537012612406,41.73050270799209,44.87846840337177,46.71991028872549,49.03985269783581,52.187818393215494
grid_123.4999999999994031_12.9999999999999201,25.838568158067716,29.538586016085183,32.3375414754082,35.13649693473123,36.77378091962395,38.836514792748694,41.63547025207171
grid_123.4999999999994031_13.0999999999999197,24.798088834187737,27.501540989684898,28.328291488836342,28.713145061689133,28.834021742252954,28.92633971921728,28.99153739218864
grid_123.4999999999994031_13.1999999999999194,21.332616527686124,23.262028286856367,23.758537070790027,23.958972696749495,24.014845105848515,24.05375879350062,24.07815075100168
grid_123.4999999999994031_13.2999999999999190,20.564461977020045,22.025120489437562,22.22606551597709,22.274798705394968,22.28358903513442,22.288003278748953,22.289819852109872
grid_123.4999999999994031_13.3999999999999186,15.890291709063455,18.70848195397324,20.840360575669315,22.97223919736539,24.219308247146696,25.790429442275176,27.92230806397125
grid_123.4999999999994031_13.4999999999999183,16.358512898884616,19.342126120864215,21.599142393926947,23.856158666989685,25.176428550248804,26.83977188896928,29.096788162032016
grid_123.4999999999994031_13.5999999999999179,19.956873911104243,22.228800720529733,22.79712800382372,23.021275413129455,23.08254460058202,23.124580138071188,23.15042203290424
grid_123.4999999999994031_13.6999999999999176,19.791436192927005,22.551081062141172,24.638671816802685,26.7262625714642,27.947424879793363,29.485907440678368,31.57349819533988
grid_123.4999999999994031_13.7999999999999172,23.6465841807999,26.358084125772557,28.409254651203966,30.460425176635383,31.66028301659727,33.17192512160804,35.22309564703945
grid_123.4999999999994031_13.8999999999999169,27.747494458507862,31.033275561944418,33.5188730132313,36.00447046451819,37.458451765409094,39.29025156795474,41.77584901924163
grid_123.4999999999994031_7.6999999999999389,17.362453721213694,18.53167053157837,19.4161489044087,20.300627277239034,20.818013958043643,21.46984408760371,22.35432246043404
grid_123.4999999999994031_7.8999999999999382,11.202336144957554,11.839761723234773,12.321955558695644,12.804149394156514,13.08621470598003,13.441574972433733,13.923768807894602
grid_123.4999999999994031_7.9999999999999378,9.350825456215551,9.611944651742327,9.658665680432726,9.672679664400983,9.675715472965031,9.677461932402114,9.678317604770571
grid_123.4999999999994031_8.0999999999999375,8.228495051745597,8.77109754535793,9.18156048635365,9.59202342734937,9.832128855767586,10.134625920961703,10.545088861957423
grid_123.4999999999994031_8.1999999999999371,7.982636329137542,8.457488529250837,8.816700351701552,9.17591217415227,9.386037620101645,9.650764374265563,10.009976196716279
grid_123.4999999999994031_8.2999999999999368,8.67640783483277,9.009914856932912,9.093011001778597,9.125676986814007,9.134581442523626,9.14067772325916,9.144415285846565
grid_123.4999999999994031_8.3999999999999364,9.4026852068257,10.136887429154793,10.692289969707993,11.247692510261192,11.572582169290076,11.981894732590286,12.537297273143485
grid_123.4999999999994031_8.4999999999999361,12.344496522453522,13.31955834171214,14.057164133607879,14.79476992550362,15.22624165407736,15.769831744762236,16.507437536657974
grid_123.4999999999994031_8.5999999999999357,15.716833853647241,17.154770292354858,18.24252721670568,19.330284141056495,19.966581151701504,20.76822057976411,21.855977504114932
grid_123.4999999999994031_8.6999999999999353,18.15420950284456,19.957969847763238,21.322461874141098,22.686953900518954,23.485130568483022,24.490714245437633,25.85520627181549
grid_123.4999999999994031_9.1999999999999336,23.35384516437043,25.942735103819615,27.901154740607634,29.859574377395653,31.00517642559259,32.448464316844834,34.40688395363286
grid_123.4999999999994031_9.7999999999999314,16.578778646618126,18.728037339237822,19.214886351012613,19.391886078699084,19.437052734844173,19.466455610986703,19.483347064410808
grid_123.4999999999994031_9.8999999999999311,14.257751374161389,16.91453787433874,18.92431927655921,20.934100678779675,22.10974743372543,23.59088717895703,25.600668581177494
grid_123.4999999999994031_9.9999999999999307,15.367489758938726,17.502948555864226,19.118360774716763,20.733772993569296,21.678728564804786,22.869231790494794,24.484644009347335
grid_123.5999999999993975_10.0999999999999304,20.352977399553247,22.785561793841687,23.51949330793177,23.857338348397718,23.96246464537675,24.04217332075572,24.097939612539065
grid_123.5999999999993975_10.1999999999999300,23.090682050561718,25.833340394099753,26.548410321467514,26.840197781069065,26.922273903592895,26.97983630831315,27.01624307103277
grid_123.5999999999993975_10.2999999999999297,21.69980705404906,24.88355166151933,27.291961483342163,29.700371305164992,31.109200737299872,32.88411591263526,35.292525734458096
grid_123.5999999999993975_12.1999999999999229,28.15514917220561,29.056211211721568,29.144442190608462,29.160737431821303,29.163054442362373,29.164032922675148,29.164355613423616
grid_123.5999999999993975_12.2999999999999226,29.204102983913593,31.064676142179124,31.47890125446436,31.627379225302693,31.66481575478106,31.688965031546065,31.702676068595594
grid_123.5999999999993975_12.9999999999999201,27.036458442326232,29.398999841174827,30.006213269724693,30.25108858458868,30.319290040839974,30.36675920861954,30.39648853155734
grid_123.5999999999993975_13.0999999999999197,24.20348746117675,26.027610912509015,26.3523757808424,26.44939665872966,26.470341468472938,26.482359587287103,26.488228269664397
grid_123.5999999999993975_13.1999999999999194,18.656344438320726,21.43299359202136,23.533447591326993,25.633901590632625,26.862588414716203,28.410550744333264,30.511004743638896
grid_123.5999999999993975_13.2999999999999190,16.306150760500444,18.86848034096255,20.80680784180928,22.745135342656013,23.878984244767906,25.30746492311812,27.24579242396485
grid_123.5999999999993975_13.3999999999999186,16.528491092938008,19.398869937270042,21.57022771038448,23.741585483498916,25.01174835642026,26.611964327830954,28.78332210094539
grid_123.5999999999993975_13.4999999999999183,20.397692049886782,22.98747090567965,23.777042144835875,24.143659679754876,24.258565924674343,24.346180198687343,24.407924612396798
grid_123.5999999999993975_13.7999999999999172,28.504798908807572,31.884274321945927,34.44074878240159,36.99722324285726,38.49266493627517,40.37669865599561,42.93317311645128
grid_123.5999999999993975_13.8999999999999169,31.69297577260261,34.71121983293645,36.99443332390248,39.277646814868504,40.61324108822427,42.295890875202346,44.57910436616838
grid_123.5999999999993975_7.8999999999999382,11.14435664557328,11.690012252227865,12.102784784081102,12.51555731593434,12.757013768396213,13.061212922588924,13.473985454442161
