TC_Event_No,Total_Economic_Impact_USD
2019236N08143,4422.070713330435
2019242N18126,1599.1254197829094
2019302N11118,1134.853584428471
2019314N14136,3520.5847196820887
2019329N09160,53186.307608246956
2019354N05151,9284.848910894803
2020129N07134,8101.867632653264
2020160N10133,4370.216761707019
2020195N17125,1354.7761125397221
2020211N14124,2944.671262001162
2020229N18123,1716.0921930718887
2020234N19123,812.8324771267098
2020258N11127,3829.4021728275393
2020281N14126,2911.743257961343
2020285N17120,1873.208110570972
2020288N13124,3910.8920620236127
2020291N06141,5049.234437782642
2020296N09137,16087.002344149641
2020299N11144,15831.764050297219
2020312N10131,4602.314931826701
2020313N08135,16347.441781938593
2020353N06129,7675.159713215666
2021046N06142,4296.19269341211
2021132N06132,3303.124571385233
2021148N05142,9956.139027897549
2021185N13121,2896.733134419581
2021248N11131,6027.644712468837
2021248N12141,3775.62745188792
2021276N07131,4915.599461662974
2021280N14137,10502.956860728154
2021296N06127,3551.829098653986
2021346N05145,27771.754963132953
2022099N11128,7107.787237937544
2022232N18131,5851.100650510643
2022264N17132,7756.672170220161
2022285N17140,4851.287221119335
2022292N21132,729.9168257768855
2022299N11134,19033.461941855054
2022301N07140,931.362249978188
2022342N06133,2793.9077270031908
2023101N14127,3930.36160719044
2023194N16123,5736.189958782423
2023201N13134,16825.4808675815
2023234N18128,9906.867083475008
2023349N04141,5991.468282478512
2024145N08130,5327.90091162263
2024245N12129,8620.519183755707
2024259N17126,5424.5847717504
2024293N13141,15268.656690732474
2024308N08140,3433.3464248212786
2024313N10169,12793.34385362221
2024313N15138,4764.085515053997
2024314N07151,4045.224560804323
