TC_Event_No,Total_Economic_Impact_USD
1994134N05161,0.0
1994169N06152,0.0
1994181N17137,0.0
1994189N16117,0.0
1994192N05139,0.0
1994197N14115,0.0
1994232N10144,0.0
1994250N14133,0.0
1994287N14156,0.3931076720866533
1994345N06165,8.657871058303167
1995148N07150,0.0
1995206N15133,0.0
1995209N17122,0.0
1995215N12145,0.0
1995225N12124,0.0
1995236N10134,0.1380020986936759
1995244N08139,0.0
1995247N05144,0.0
1995252N08142,0.0
1995262N04161,0.0
1995264N06174,2.665064884628555
1995276N13124,0.0
1995277N07141,0.0
1995292N08150,0.0
1995293N05177,72.88053718230145
1995294N05163,0.0
1995334N09129,0.029695394615434474
1996058N06137,0.0
1996090N04150,0.0
1996137N13111,0.0
1996201N07137,27.900199955337058
1996227N08156,0.0
1996246N08148,0.2697174700104503
1996250N08148,0.0
1996282N11162,0.03246268137802317
1996283N12133,0.0
1996299N11121,0.0
1996303N07155,0.06896858582042237
1996305N11121,0.0
1996312N14125,0.19099630566432851
1996328N08151,0.09642484215074543
1996356N08110,0.09944866823379356
1997143N17111,0.0
1997210N15120,0.0
1997283N07177,18.36372751859732
1997298N06140,0.028564100576678842
1997311N10151,0.0
1998217N10130,0.0
1998259N17118,0.0
1998281N11151,9.145095072605528
1998285N12149,39.84944518523736
1998327N09126,0.0
1998342N06141,5.273196927258336
1998351N11125,0.0
1999096N10136,0.0
1999111N08126,0.0
1999230N12129,0.00840727872386997
1999241N12133,0.0
1999253N17124,0.0
1999275N16135,0.34742120912956065
1999288N12129,0.0
1999310N09138,0.15814709002058916
1999342N08116,0.0
2000138N16119,0.0
2000141N18116,0.0
2000185N15117,0.030625288034778875
2000193N10131,0.0
2000196N16122,0.0
2000248N18126,0.9553792416917728
2000299N08139,22.640860396310277
2000305N06136,0.07578691224485362
2000332N08133,0.8771265978983805
2000334N08130,0.8771265978983805
2001047N09134,0.0
2001125N05129,0.0
2001170N11138,0.0
2001181N08141,12.987359596532372
2001204N19127,0.0
2001228N15118,0.0
2001264N21126,0.08518112442363576
2001309N10130,3.049307004892217
2001323N05107,0.0
2001338N10130,0.7400380552311452
2002008N07141,0.0
2002078N04138,0.0
2002199N08130,0.05463034053407953
2002214N19120,0.0
2002222N11131,0.034772661978913634
2002252N20121,0.0
2003144N16119,0.0
2003158N08156,0.02571012704398692
2003196N05150,14.69117263604125
2003196N11137,0.6673820087794918
2003226N07156,0.12336210457720082
2003294N11112,0.0
2003302N11133,1.530035352506645
2003316N11141,0.2291736239884497
2003357N11142,0.1050428873270271
2004074N03143,0.0
2004134N07132,2.1305265224727155
2004158N07142,0.0
2004174N14146,28.10934036395919
2004319N10134,0.02814580698251705
2004327N16125,0.0
2004333N06154,9.468855545248049
2005071N06152,0.0
2005222N14131,0.0
2005257N15120,0.0
2005262N13127,0.0
2005311N08140,0.0
2005316N05134,0.2939071632174767
2005350N08127,0.18433557874557654
2006128N09138,9.750711758118483
2006174N08135,0.0
2006209N13130,0.0
2006268N12129,0.3800745873178515
2006298N12143,0.0
2006311N16143,0.0
2006329N06150,59.653055556123974
2006340N08142,3.102079875290801
2006349N08157,0.0
2007265N20122,0.0
2007272N17125,0.04290699356962362
2007306N18133,0.0
2007323N09128,6.972860292257498
2007324N10140,1.128710941316282
2008012N12123,0.0
2008104N08128,0.0
2008135N12116,0.0
2008169N08135,23.957754522536963
2008217N19120,0.0
2008229N13147,8.400157308161997
2008238N13130,0.0
2008262N16142,9.276499328947363
2008272N08139,0.0
2008311N08128,0.0
2008320N08122,0.0
2009121N13124,0.0
2009123N10111,0.014371835529510645
2009164N10131,0.0
2009173N10132,0.2141830801225244
2009189N17129,0.0
2009196N14129,0.0
2009213N16130,0.05337630478915797
2009251N16118,0.0
2009254N14130,0.0
2009268N14128,0.5406281330612167
2009270N10148,1.6878623935178556
2009299N12153,3.607209776454544
2009324N06129,0.0
2010191N12138,0.2917824571024851
2010198N15123,0.0
2010285N13145,19.657105561781954
2011126N11129,0.0
2011159N13122,0.0
2011167N08129,0.0
