value,region_id,impf_,geometry
0.0,616,1,POINT (17.85416667 54.6875)
0.0,616,1,POINT (17.89583333 54.6875)
0.00016627454573051674,616,1,POINT (17.9375 54.6875)
359.35082874620457,616,1,POINT (17.97916667 54.6875)
94287.8351143981,616,1,POINT (18.02083333 54.6875)
3287.5117577166407,616,1,POINT (18.0625 54.6875)
22183.579750292763,616,1,POINT (18.10416667 54.6875)
7192.846437552508,616,1,POINT (18.14583333 54.6875)
15695.041352831802,616,1,POINT (18.1875 54.6875)
31047.0022988431,616,1,POINT (18.22916667 54.6875)
8376.716109723213,616,1,POINT (18.27083333 54.6875)
8906.493045021813,616,1,POINT (18.3125 54.6875)
150929.20626324433,616,1,POINT (18.35416667 54.6875)
16000820.216720033,616,1,POINT (18.39583333 54.6875)
4221679.257401187,616,1,POINT (18.4375 54.6875)
154.2188577970441,616,1,POINT (18.72916667 54.6875)
2108.009753860888,616,1,POINT (17.02083333 54.64583333)
86201.50638776556,616,1,POINT (17.0625 54.64583333)
0.5224287328390449,616,1,POINT (17.10416667 54.64583333)
0.0,616,1,POINT (17.14583333 54.64583333)
0.0,616,1,POINT (17.1875 54.64583333)
0.0,616,1,POINT (17.22916667 54.64583333)
0.0,616,1,POINT (17.27083333 54.64583333)
0.0,616,1,POINT (17.3125 54.64583333)
644.6793514347738,616,1,POINT (17.35416667 54.64583333)
50.963699026263974,616,1,POINT (17.39583333 54.64583333)
0.0,616,1,POINT (17.4375 54.64583333)
0.0,616,1,POINT (17.47916667 54.64583333)
4.894117220716172e-07,616,1,POINT (17.52083333 54.64583333)
1.350994406322599e-05,616,1,POINT (17.5625 54.64583333)
3.683813444796094e-08,616,1,POINT (17.60416667 54.64583333)
1.842175261421688e-09,616,1,POINT (17.64583333 54.64583333)
0.043483846222159124,616,1,POINT (17.6875 54.64583333)
2.7026735148847387,616,1,POINT (17.72916667 54.64583333)
2.70777353904335,616,1,POINT (17.77083333 54.64583333)
0.37151496319796057,616,1,POINT (17.8125 54.64583333)
0.011826839836882073,616,1,POINT (17.85416667 54.64583333)
0.000259024579147559,616,1,POINT (17.89583333 54.64583333)
0.009994294903857618,616,1,POINT (17.9375 54.64583333)
1.1875632008697463,616,1,POINT (17.97916667 54.64583333)
11.46514970416763,616,1,POINT (18.02083333 54.64583333)
664.2021819789402,616,1,POINT (18.0625 54.64583333)
40329.354545857444,616,1,POINT (18.10416667 54.64583333)
3691740.475355783,616,1,POINT (18.14583333 54.64583333)
28458810.30535811,616,1,POINT (18.1875 54.64583333)
12003313.038811633,616,1,POINT (18.22916667 54.64583333)
6151846.659712688,616,1,POINT (18.27083333 54.64583333)
5971897.144923956,616,1,POINT (18.3125 54.64583333)
34050574.968106054,616,1,POINT (18.35416667 54.64583333)
10256380.324061166,616,1,POINT (18.39583333 54.64583333)
6488884.71834152,616,1,POINT (18.4375 54.64583333)
412.4071959097064,616,1,POINT (18.77083333 54.64583333)
37.112188994840956,616,1,POINT (16.9375 54.60416667)
0.0003728741629451059,616,1,POINT (16.97916667 54.60416667)
0.016680255607817017,616,1,POINT (17.02083333 54.60416667)
