value,region_id,impf_,geometry
795.0816105920495,40,1,POINT (16.14583333 48.60416667)
684.9066904099254,40,1,POINT (16.1875 48.60416667)
733.164124720223,40,1,POINT (16.22916667 48.60416667)
756.7636754371308,40,1,POINT (16.27083333 48.60416667)
508.7587554723879,40,1,POINT (16.3125 48.60416667)
393.66826032561596,40,1,POINT (16.35416667 48.60416667)
388.2028178584023,40,1,POINT (16.39583333 48.60416667)
482.1570443487813,40,1,POINT (16.4375 48.60416667)
633.1729714327074,40,1,POINT (16.47916667 48.60416667)
1045.3320297089194,40,1,POINT (16.52083333 48.60416667)
1228.9715328216175,40,1,POINT (16.5625 48.60416667)
1162.5043916134448,40,1,POINT (16.60416667 48.60416667)
992.220472953216,40,1,POINT (16.64583333 48.60416667)
924.05627825288,40,1,POINT (16.6875 48.60416667)
759.8764985765193,40,1,POINT (16.72916667 48.60416667)
879.6174793892485,40,1,POINT (16.77083333 48.60416667)
897.1376649222022,40,1,POINT (16.8125 48.60416667)
1035.0660369336624,40,1,POINT (16.85416667 48.60416667)
1199.465455143502,40,1,POINT (16.89583333 48.60416667)
543.4514257745219,40,1,POINT (16.9375 48.60416667)
2313.237276027287,40,1,POINT (13.47916667 48.5625)
961.05888850575,40,1,POINT (13.52083333 48.5625)
833.1191776650621,40,1,POINT (13.5625 48.5625)
712.8953969423359,40,1,POINT (13.60416667 48.5625)
545.417183419449,40,1,POINT (13.77083333 48.5625)
752.5372362529699,40,1,POINT (13.8125 48.5625)
726.6983075368321,40,1,POINT (13.85416667 48.5625)
787.0946628147175,40,1,POINT (13.89583333 48.5625)
980.7306351829857,40,1,POINT (13.9375 48.5625)
2364.9836710927875,40,1,POINT (13.97916667 48.5625)
1584.9842438526612,40,1,POINT (14.02083333 48.5625)
1642.351014030947,40,1,POINT (14.0625 48.5625)
793.4250916635588,40,1,POINT (14.10416667 48.5625)
665.5679922879539,40,1,POINT (14.14583333 48.5625)
514.4095917554951,40,1,POINT (14.1875 48.5625)
435.8497515138152,40,1,POINT (14.22916667 48.5625)
556.0715561163149,40,1,POINT (14.27083333 48.5625)
658.0104891745005,40,1,POINT (14.35416667 48.5625)
869.4958879846964,40,1,POINT (14.39583333 48.5625)
832.3147521386718,40,1,POINT (14.4375 48.5625)
852.5602484543828,40,1,POINT (14.47916667 48.5625)
777.4635830088517,40,1,POINT (14.52083333 48.5625)
617.7296882579134,40,1,POINT (14.5625 48.5625)
505.7449311365468,40,1,POINT (14.60416667 48.5625)
318.2181344488218,40,1,POINT (14.64583333 48.5625)
283.78845683001606,40,1,POINT (14.6875 48.5625)
276.57701574648996,40,1,POINT (14.72916667 48.5625)
260.22303033555784,40,1,POINT (14.77083333 48.5625)
338.32845932122757,40,1,POINT (14.8125 48.5625)
402.0254414571102,40,1,POINT (14.85416667 48.5625)
445.8761517611101,40,1,POINT (14.89583333 48.5625)
583.3434611850657,40,1,POINT (14.9375 48.5625)
581.3439649021236,40,1,POINT (14.97916667 48.5625)
555.6490519722563,40,1,POINT (15.02083333 48.5625)
569.1450855549774,40,1,POINT (15.0625 48.5625)
599.4912071216166,40,1,POINT (15.10416667 48.5625)
551.7256339555261,40,1,POINT (15.14583333 48.5625)
537.47211975131,40,1,POINT (15.1875 48.5625)
555.0053669569811,40,1,POINT (15.22916667 48.5625)
532.2682722238496,40,1,POINT (15.27083333 48.5625)
462.47103104747066,40,1,POINT (15.3125 48.5625)
413.25778112220326,40,1,POINT (15.35416667 48.5625)
427.25247177478866,40,1,POINT (15.39583333 48.5625)
424.34651468448743,40,1,POINT (15.4375 48.5625)
409.57578715949876,40,1,POINT (15.47916667 48.5625)
437.78793987167825,40,1,POINT (15.52083333 48.5625)
359.7571696721306,40,1,POINT (15.5625 48.5625)
585.1496350721809,40,1,POINT (15.60416667 48.5625)
748.9749180591108,40,1,POINT (15.64583333 48.5625)
679.2003781663104,40,1,POINT (15.6875 48.5625)
592.5620138441145,40,1,POINT (15.72916667 48.5625)
576.9721121881174,40,1,POINT (15.77083333 48.5625)
655.0467426170849,40,1,POINT (15.8125 48.5625)
767.6088642309998,40,1,POINT (15.85416667 48.5625)
764.4987401826525,40,1,POINT (15.89583333 48.5625)
719.2162825764243,40,1,POINT (15.9375 48.5625)
960.3911526613755,40,1,POINT (15.97916667 48.5625)
1085.5141692083396,40,1,POINT (16.02083333 48.5625)
1124.3612226034445,40,1,POINT (16.0625 48.5625)
1132.3711608526812,40,1,POINT (16.10416667 48.5625)
1050.8122448797783,40,1,POINT (16.14583333 48.5625)
1029.8292219370558,40,1,POINT (16.1875 48.5625)
782.5486223324444,40,1,POINT (16.22916667 48.5625)
666.295252729398,40,1,POINT (16.27083333 48.5625)
537.8820924012487,40,1,POINT (16.3125 48.5625)
531.1801047517516,40,1,POINT (16.35416667 48.5625)
577.3188007927505,40,1,POINT (16.39583333 48.5625)
637.0516616550404,40,1,POINT (16.4375 48.5625)
681.5563954569644,40,1,POINT (16.47916667 48.5625)
996.0910659024253,40,1,POINT (16.52083333 48.5625)
1229.5177131730288,40,1,POINT (16.5625 48.5625)
1218.6035529634462,40,1,POINT (16.60416667 48.5625)
1170.3092953396579,40,1,POINT (16.64583333 48.5625)
1016.6494639866999,40,1,POINT (16.6875 48.5625)
