longitude_latitude,return_level_10years,return_level_25years,return_level_50years,return_level_100years,return_level_150years,return_level_250years,return_level_500years
21.0500962886329717_52.7502412933676510,91.19221000569175,164.7369417324169,262.97070118323495,424.33117266884926,563.2655923936566,806.7576515117187,1317.565017970878
21.0500962886329717_52.8502417507958384,120.96890602692845,240.60212914591608,412.0538439280436,711.815712405305,982.5137829464226,1477.1767423922327,2574.04981491791
21.0500962886329717_52.9502422082240258,340.4890335967811,1145.5273656988754,2910.0021344091456,7424.9114835219325,12854.046420277311,25675.412067170328,65676.67227063577
21.0500962886329717_53.0502426656522061,47.75354390013694,57.44723972095709,65.5093391243877,74.25887710857056,79.71891724250365,86.9804454266998,97.56078034168722
21.0500962886329717_53.1502431230803936,51.51357589171427,66.5042080788786,80.59586633122899,97.60344738407257,109.14010229748976,125.60334997445655,151.92412507429762
21.0500962886329717_53.2502435805085810,33.46235362339295,37.13654476359731,39.857391657360004,42.528802410157155,44.06891978855065,45.98586935370399,48.54592937669886
21.0500962886329717_53.3502440379367613,30.7683114159559,30.80501573274287,30.81412710773111,30.817697998671125,30.818668897296174,30.819332301118763,30.81973799570044
21.0500962886329717_53.4502444953649487,137.67559107958283,306.15040752619495,572.655733965064,1081.3879349394792,1572.4995288964135,2524.4235145143807,4807.118793896858
21.0500962886329717_53.5502449527931361,55.734679895317356,69.6218248848622,81.67261303668229,95.24089388484902,103.956661449998,115.83407323505199,133.7041280165471
21.0500962886329717_53.6502454102213235,109.2370674663384,212.58168027975623,358.3597031719559,609.6739679929269,834.2005573872416,1240.6417228347348,2130.685521979207
21.0500962886329717_53.7502458676495039,42.30877610733374,42.54044597217832,42.60709178690723,42.63658540700699,42.645465744199804,42.652029349604945,42.65647219821522
21.0500962886329717_53.8502463250776913,72.21005793274556,102.02717289888503,132.55420432511195,172.24511518510053,200.77811514690003,243.56111709531368,316.57508353633995
21.0500962886329717_53.9502467825058787,46.133050053103595,53.8480594882419,60.00615353838488,66.45609927251297,70.36986800882923,75.45396655119637,82.6360333287781
21.0500962886329717_54.0502472399340590,38.393150200064085,38.39479031019841,38.3949587400903,38.39499105168932,38.394995802020944,38.394997857014204,38.39499855588198
21.0500962886329717_54.1502476973622464,38.2521729194018,38.28489028742517,38.291607580754956,38.29386118031209,38.294398340598065,38.294730399920496,38.29490886180268
21.0500962886329717_54.2502481547904338,53.78716776648709,64.18202822454126,72.70943307865144,81.85474952270204,87.5086161782043,94.969046116702,105.7273354545129
21.0500962886329717_54.3502486122186141,72.06451975273369,97.03028786911624,121.22707818027361,151.21825918165598,171.98942533886384,202.15927242013146,251.5312368565248
21.1500967460611555_49.4502261982375444,46.327420260837,50.68702534423165,53.59628031634635,56.20850012690282,57.611099731537855,59.256912449844585,61.29118127418234
21.1500967460611555_49.5502266556657318,34.65414908157103,35.23181321061936,35.49205664815881,35.6594575882681,35.72811964204095,35.79284696585011,35.852940207593164
21.1500967460611555_49.6502271130939121,36.02377182321567,39.15639656641108,41.30256171193001,43.27351904796211,44.35099671967806,45.63423550235943,47.25156530985897
21.1500967460611555_49.7502275705220995,34.65605910831724,36.40435357736773,37.45235940380863,38.31096256661045,38.739354871128825,39.212598555515925,39.75307945643358
21.1500967460611555_49.8502280279502870,110.68919179478331,191.70373077935116,293.24289882185434,450.91551013646034,580.9459546319462,800.42477891401,1238.4804763188445
