,value,region_id,impf_,geometry
1738,1864533.917859059,203,1,POINT (15.98333333 50.25)
1739,1867130.3140939896,203,1,POINT (16.01666667 50.25)
1740,1611249.004664812,203,1,POINT (16.05 50.25)
1741,8606345.012453167,203,1,POINT (16.08333333 50.25)
1742,20986287.20568361,203,1,POINT (16.11666667 50.25)
1743,3843729.3976181564,203,1,POINT (16.15 50.25)
1744,3124897.453816569,203,1,POINT (16.18333333 50.25)
1745,3386416.754228086,203,1,POINT (16.21666667 50.25)
1746,4206380.368179354,203,1,POINT (16.25 50.25)
1747,2966480.4297261857,203,1,POINT (16.28333333 50.25)
1748,1023528.9930481814,203,1,POINT (16.31666667 50.25)
1749,220298.1340057811,203,1,POINT (16.35 50.25)
1750,132305.72900219052,203,1,POINT (16.38333333 50.25)
1751,91728.83537165889,203,1,POINT (16.41666667 50.25)
1752,87382.07915860563,203,1,POINT (16.45 50.25)
1753,52198.796708381764,203,1,POINT (16.48333333 50.25)
1754,288890.3967056788,203,1,POINT (17.01666667 50.25)
1755,424451.17010264425,203,1,POINT (17.05 50.25)
1756,560345.6765728589,203,1,POINT (17.08333333 50.25)
1757,686101.1820359922,203,1,POINT (17.11666667 50.25)
1758,2583905.945142595,203,1,POINT (17.15 50.25)
1759,49125857.210816346,203,1,POINT (17.18333333 50.25)
1760,60241890.20323561,203,1,POINT (17.21666667 50.25)
1761,5946660.218328983,203,1,POINT (17.25 50.25)
1762,1655792.738245895,203,1,POINT (17.28333333 50.25)
1763,889557.7146233821,203,1,POINT (17.31666667 50.25)
1764,1032165.8341965891,203,1,POINT (17.35 50.25)
1765,7865134.985722419,203,1,POINT (17.38333333 50.25)
1766,157728.0073495721,203,1,POINT (17.45 50.25)
1767,379106.8249276166,203,1,POINT (17.48333333 50.25)
1768,517926.1526373886,203,1,POINT (17.51666667 50.25)
1769,606651.1111327613,203,1,POINT (17.55 50.25)
1770,383885.13479475107,203,1,POINT (17.58333333 50.25)
1771,265654.33746724564,203,1,POINT (17.61666667 50.25)
1772,298001.24402339663,203,1,POINT (17.65 50.25)
1773,407495.39115376724,203,1,POINT (17.68333333 50.25)
1774,298601.2444785106,203,1,POINT (17.71666667 50.25)
1775,23649128.886286564,203,1,POINT (12.15 50.21666667)
1776,306480342.0031396,203,1,POINT (12.18333333 50.21666667)
1777,193100083.14269218,203,1,POINT (12.21666667 50.21666667)
1778,6983199.993718555,203,1,POINT (12.25 50.21666667)
1779,780294.5175939525,203,1,POINT (12.31666667 50.21666667)
1780,11095380.74238793,203,1,POINT (12.35 50.21666667)
1781,1870299.159749219,203,1,POINT (12.38333333 50.21666667)
1782,515307.4964170136,203,1,POINT (12.41666667 50.21666667)
1783,196382.31295887218,203,1,POINT (12.45 50.21666667)
1784,265314.87046436255,203,1,POINT (12.48333333 50.21666667)
1785,1812292.501323211,203,1,POINT (12.51666667 50.21666667)
1786,4114249.5040454892,203,1,POINT (12.55 50.21666667)
1787,5887526.786158728,203,1,POINT (12.58333333 50.21666667)
1788,27232761.250562087,203,1,POINT (12.61666667 50.21666667)
1789,69325275.18860194,203,1,POINT (12.65 50.21666667)
1790,67130264.24325189,203,1,POINT (12.68333333 50.21666667)
1791,177373230.1796202,203,1,POINT (12.71666667 50.21666667)
1792,353274903.63399917,203,1,POINT (12.75 50.21666667)
1793,127098477.19090304,203,1,POINT (12.78333333 50.21666667)
1794,921811797.0903419,203,1,POINT (12.81666667 50.21666667)
1795,1384231898.0687215,203,1,POINT (12.85 50.21666667)
1796,1371127906.7843597,203,1,POINT (12.88333333 50.21666667)
1797,277986324.6054793,203,1,POINT (12.91666667 50.21666667)
1798,12878805.512693724,203,1,POINT (12.95 50.21666667)
1799,578880.3575651405,203,1,POINT (12.98333333 50.21666667)
1800,64124.98121339588,203,1,POINT (13.01666667 50.21666667)
1801,23530.15715315248,203,1,POINT (13.05 50.21666667)
1802,23470.599815860318,203,1,POINT (13.08333333 50.21666667)
1803,23470.599815860318,203,1,POINT (13.11666667 50.21666667)
1804,23470.599815860318,203,1,POINT (13.15 50.21666667)
1805,23470.599815860318,203,1,POINT (13.18333333 50.21666667)
1806,36214.5549811326,203,1,POINT (13.21666667 50.21666667)
1807,176870.4291191909,203,1,POINT (13.25 50.21666667)
1808,266061.35229222587,203,1,POINT (13.28333333 50.21666667)
1809,252181.064135352,203,1,POINT (13.31666667 50.21666667)
1810,1514306.5195563324,203,1,POINT (13.35 50.21666667)
1811,26899476.97355532,203,1,POINT (13.38333333 50.21666667)
1812,51893152.815854125,203,1,POINT (13.41666667 50.21666667)
1813,3578072.1763654305,203,1,POINT (13.45 50.21666667)
1814,605955.5681752047,203,1,POINT (13.48333333 50.21666667)
1815,471521.2432931246,203,1,POINT (13.51666667 50.21666667)
1816,452138.67800017,203,1,POINT (13.55 50.21666667)
1817,422220.371877196,203,1,POINT (13.58333333 50.21666667)
1818,400722.29931421875,203,1,POINT (13.61666667 50.21666667)
1819,660985.6247888338,203,1,POINT (13.65 50.21666667)
1820,881975.3035778521,203,1,POINT (13.68333333 50.21666667)
1821,926049.4127152085,203,1,POINT (13.71666667 50.21666667)
1822,699514.6276514963,203,1,POINT (13.75 50.21666667)
1823,775993.3813233898,203,1,POINT (13.78333333 50.21666667)
1824,703761.0412864552,203,1,POINT (13.81666667 50.21666667)
1825,578791.7909626736,203,1,POINT (13.85 50.21666667)
1826,938452.7979493445,203,1,POINT (13.88333333 50.21666667)
1827,1134153.3898320168,203,1,POINT (13.91666667 50.21666667)
1828,1095578.378468122,203,1,POINT (13.95 50.21666667)
1829,1445304.0405090358,203,1,POINT (13.98333333 50.21666667)
1830,5204955.153341145,203,1,POINT (14.01666667 50.21666667)
1831,80258725.93830808,203,1,POINT (14.05 50.21666667)
1832,513013020.6728244,203,1,POINT (14.08333333 50.21666667)
1833,167710392.1760452,203,1,POINT (14.11666667 50.21666667)
1834,26670915.832841776,203,1,POINT (14.15 50.21666667)
1835,8207762.77916042,203,1,POINT (14.18333333 50.21666667)
1836,5119155.508779494,203,1,POINT (14.21666667 50.21666667)
1837,25531812.881277926,203,1,POINT (14.25 50.21666667)
1838,428855532.48596734,203,1,POINT (14.28333333 50.21666667)
1839,505294463.12540793,203,1,POINT (14.31666667 50.21666667)
1840,217677723.0004691,203,1,POINT (14.35 50.21666667)
1841,233078095.17127156,203,1,POINT (14.38333333 50.21666667)
1842,280586617.4647171,203,1,POINT (14.41666667 50.21666667)
1843,188908493.511332,203,1,POINT (14.45 50.21666667)
1844,199394921.8823454,203,1,POINT (14.48333333 50.21666667)
1845,274876499.80074453,203,1,POINT (14.51666667 50.21666667)
1846,165396816.57934764,203,1,POINT (14.55 50.21666667)
1847,150291884.23607218,203,1,POINT (14.58333333 50.21666667)
1848,49569296.77993552,203,1,POINT (14.61666667 50.21666667)
1849,123589243.69604449,203,1,POINT (14.65 50.21666667)
1850,331821012.23596334,203,1,POINT (14.68333333 50.21666667)
1851,28883250.72325782,203,1,POINT (14.71666667 50.21666667)
1852,6950027.957901872,203,1,POINT (14.75 50.21666667)
1853,14280069.223936232,203,1,POINT (14.78333333 50.21666667)
1854,96589773.52475685,203,1,POINT (14.81666667 50.21666667)
1855,417841059.5634781,203,1,POINT (14.85 50.21666667)
1856,255233959.74909323,203,1,POINT (14.88333333 50.21666667)
1857,31253223.663172,203,1,POINT (14.91666667 50.21666667)
1858,2742147.8566891323,203,1,POINT (14.95 50.21666667)
1859,4692999.897642879,203,1,POINT (14.98333333 50.21666667)
1860,45808076.520167366,203,1,POINT (15.01666667 50.21666667)
1861,148968036.01868275,203,1,POINT (15.05 50.21666667)
1862,19869319.499022674,203,1,POINT (15.08333333 50.21666667)
1863,3489706.732451587,203,1,POINT (15.11666667 50.21666667)
1864,1477836.1878529002,203,1,POINT (15.15 50.21666667)
1865,832676.6222767904,203,1,POINT (15.18333333 50.21666667)
1866,564162.1189141091,203,1,POINT (15.21666667 50.21666667)
1867,1154955.139709088,203,1,POINT (15.25 50.21666667)
1868,17940458.399519037,203,1,POINT (15.28333333 50.21666667)
1869,8990737.648604613,203,1,POINT (15.31666667 50.21666667)
1870,787106.3244277134,203,1,POINT (15.35 50.21666667)
1871,1307795.2965682636,203,1,POINT (15.38333333 50.21666667)
1872,2547101.670677637,203,1,POINT (15.41666667 50.21666667)
1873,5227908.870918119,203,1,POINT (15.45 50.21666667)
1874,27839483.78468524,203,1,POINT (15.48333333 50.21666667)
1875,8586230.431509022,203,1,POINT (15.51666667 50.21666667)
