,value,region_id,impf_,geometry
121,22847998.08496734,40,1,POINT (15.41666667 48.78333333)
122,1826046.306802711,40,1,POINT (15.45 48.78333333)
123,529307.9260545891,40,1,POINT (15.48333333 48.78333333)
124,586045.8206516649,40,1,POINT (15.51666667 48.78333333)
125,647814.2460945589,40,1,POINT (15.55 48.78333333)
126,584898.5562564628,40,1,POINT (15.58333333 48.78333333)
127,537193.2714616967,40,1,POINT (15.61666667 48.78333333)
128,970517.2915250498,40,1,POINT (15.65 48.78333333)
129,1866279.9316160462,40,1,POINT (15.68333333 48.78333333)
130,513428.2467811012,40,1,POINT (15.71666667 48.78333333)
131,471230.3103422732,40,1,POINT (15.75 48.78333333)
132,1424100.5911476384,40,1,POINT (15.78333333 48.78333333)
133,3315703.73559494,40,1,POINT (15.81666667 48.78333333)
134,478881.58153441554,40,1,POINT (15.85 48.78333333)
135,877944.6181696372,40,1,POINT (15.88333333 48.78333333)
136,2959621.7259091996,40,1,POINT (15.91666667 48.78333333)
137,14120460.682109378,40,1,POINT (15.95 48.78333333)
138,1286064.1035176676,40,1,POINT (16.45 48.78333333)
139,1422471.1628339486,40,1,POINT (16.48333333 48.78333333)
140,1394011.4532526163,40,1,POINT (16.51666667 48.78333333)
141,934539.006053776,40,1,POINT (16.55 48.78333333)
142,2483334.398793977,40,1,POINT (16.58333333 48.78333333)
143,4211755.435594662,40,1,POINT (16.61666667 48.78333333)
144,664885.1446515901,40,1,POINT (13.81666667 48.75)
145,398718.1989373337,40,1,POINT (13.85 48.75)
146,731313.4968206715,40,1,POINT (14.81666667 48.75)
147,823322.5497550934,40,1,POINT (14.85 48.75)
148,1559400.3282947973,40,1,POINT (14.88333333 48.75)
149,3537105.063644631,40,1,POINT (14.91666667 48.75)
150,54996530.79892125,40,1,POINT (14.95 48.75)
151,193124786.43374845,40,1,POINT (14.98333333 48.75)
152,29056765.032392006,40,1,POINT (15.01666667 48.75)
153,6178269.926039906,40,1,POINT (15.05 48.75)
154,2656350.1514720772,40,1,POINT (15.08333333 48.75)
155,7646581.598012151,40,1,POINT (15.11666667 48.75)
156,4288324.335438091,40,1,POINT (15.15 48.75)
157,14229442.296234911,40,1,POINT (15.18333333 48.75)
158,3284220.335020971,40,1,POINT (15.21666667 48.75)
159,1977798.845498011,40,1,POINT (15.25 48.75)
160,2135680.7685731137,40,1,POINT (15.28333333 48.75)
161,1633873.5609276607,40,1,POINT (15.31666667 48.75)
162,1661358.7401339344,40,1,POINT (15.35 48.75)
163,2809999.1139572384,40,1,POINT (15.38333333 48.75)
164,3038329.300262997,40,1,POINT (15.41666667 48.75)
165,1025668.9216574236,40,1,POINT (15.45 48.75)
166,550067.8767348372,40,1,POINT (15.48333333 48.75)
167,659021.3091988936,40,1,POINT (15.51666667 48.75)
168,689764.3954495416,40,1,POINT (15.55 48.75)
169,619897.5465196733,40,1,POINT (15.58333333 48.75)
170,548118.8605652325,40,1,POINT (15.61666667 48.75)
171,637651.7693721137,40,1,POINT (15.65 48.75)
172,655684.0513786456,40,1,POINT (15.68333333 48.75)
173,594233.7993897765,40,1,POINT (15.71666667 48.75)
174,544336.4027393055,40,1,POINT (15.75 48.75)
175,677206.8067415466,40,1,POINT (15.78333333 48.75)
176,1046499.384834438,40,1,POINT (15.81666667 48.75)
177,1327589.379092098,40,1,POINT (15.85 48.75)
178,1870220.2265144282,40,1,POINT (15.88333333 48.75)
179,5731970.717525516,40,1,POINT (15.91666667 48.75)
180,88898506.73857109,40,1,POINT (15.95 48.75)
181,32881638.010562673,40,1,POINT (15.98333333 48.75)
182,4300553.660561636,40,1,POINT (16.01666667 48.75)
183,2020503.865426775,40,1,POINT (16.05 48.75)
184,11428625.940145582,40,1,POINT (16.41666667 48.75)
185,2722615.335945043,40,1,POINT (16.45 48.75)
186,3660846.8713757624,40,1,POINT (16.48333333 48.75)
187,3355801.90867932,40,1,POINT (16.51666667 48.75)
188,1027487.9640919764,40,1,POINT (16.55 48.75)
189,2041104.9291862394,40,1,POINT (16.58333333 48.75)
190,4052880.584191196,40,1,POINT (16.61666667 48.75)
191,2686695.60991983,40,1,POINT (16.65 48.75)
192,757765.124916109,40,1,POINT (13.81666667 48.71666667)
193,957320.7078157158,40,1,POINT (13.85 48.71666667)
194,1154570.647195643,40,1,POINT (13.88333333 48.71666667)
195,1046167.3669631943,40,1,POINT (13.91666667 48.71666667)
196,715453.287994707,40,1,POINT (13.95 48.71666667)
197,444560.6704010495,40,1,POINT (14.78333333 48.71666667)
198,793948.0553870962,40,1,POINT (14.81666667 48.71666667)
199,1253136.7072624085,40,1,POINT (14.85 48.71666667)
200,9709492.065427616,40,1,POINT (14.88333333 48.71666667)
201,6310820.70864109,40,1,POINT (14.91666667 48.71666667)
202,4484291.132819649,40,1,POINT (14.95 48.71666667)
203,6241748.246821577,40,1,POINT (14.98333333 48.71666667)
204,3883356.4468629872,40,1,POINT (15.01666667 48.71666667)
205,1642177.6662908334,40,1,POINT (15.05 48.71666667)
206,989395.0917410451,40,1,POINT (15.08333333 48.71666667)
207,2018434.5026767012,40,1,POINT (15.11666667 48.71666667)
208,1620345.9904438714,40,1,POINT (15.15 48.71666667)
209,1606014.2231805243,40,1,POINT (15.18333333 48.71666667)
210,4362035.094177739,40,1,POINT (15.21666667 48.71666667)
211,1418044.3608465232,40,1,POINT (15.25 48.71666667)
212,1241596.393049471,40,1,POINT (15.28333333 48.71666667)
213,907404.218418294,40,1,POINT (15.31666667 48.71666667)
214,1673278.3034630618,40,1,POINT (15.35 48.71666667)
215,6291443.091815221,40,1,POINT (15.38333333 48.71666667)
216,3095033.742041707,40,1,POINT (15.41666667 48.71666667)
217,735165.6042211051,40,1,POINT (15.45 48.71666667)
218,668340.4488613153,40,1,POINT (15.48333333 48.71666667)
219,698577.8659149313,40,1,POINT (15.51666667 48.71666667)
220,763312.0935805872,40,1,POINT (15.55 48.71666667)
221,964930.0731068403,40,1,POINT (15.58333333 48.71666667)
222,2432600.6400163663,40,1,POINT (15.61666667 48.71666667)
223,6727056.829255376,40,1,POINT (15.65 48.71666667)
224,5222906.285289647,40,1,POINT (15.68333333 48.71666667)
225,1559906.9850747497,40,1,POINT (15.71666667 48.71666667)
226,1062113.9434854942,40,1,POINT (15.75 48.71666667)
227,1200892.5307663365,40,1,POINT (15.78333333 48.71666667)
228,2424647.150302274,40,1,POINT (15.81666667 48.71666667)
229,18547429.814524725,40,1,POINT (15.85 48.71666667)
230,6915530.22385495,40,1,POINT (15.88333333 48.71666667)
231,3293183.9809347214,40,1,POINT (15.91666667 48.71666667)
232,7484845.781207982,40,1,POINT (15.95 48.71666667)
233,5458738.294900306,40,1,POINT (15.98333333 48.71666667)
234,3129150.0060542175,40,1,POINT (16.01666667 48.71666667)
235,4057613.170286563,40,1,POINT (16.05 48.71666667)
236,12735056.159028035,40,1,POINT (16.08333333 48.71666667)
