,value,region_id,impf_,geometry
57,139463.32000472676,616,1,POINT (17.95 54.75)
58,271964.8295980135,616,1,POINT (17.98333333 54.75)
59,519448.1996273003,616,1,POINT (18.01666667 54.75)
60,347789.56442321854,616,1,POINT (18.05 54.75)
61,901668.8368069271,616,1,POINT (18.08333333 54.75)
62,1049312.8907208072,616,1,POINT (18.11666667 54.75)
63,514355.4381586575,616,1,POINT (18.15 54.75)
64,389318.3565621137,616,1,POINT (18.18333333 54.75)
65,272288.9345525506,616,1,POINT (18.21666667 54.75)
66,336852.54541943024,616,1,POINT (18.25 54.75)
67,405689.8703289701,616,1,POINT (18.28333333 54.75)
68,701242.0791860931,616,1,POINT (18.31666667 54.75)
69,2705565.5009659687,616,1,POINT (18.35 54.75)
70,16646823.955163484,616,1,POINT (18.38333333 54.75)
71,48775.752470351414,616,1,POINT (17.25 54.71666667)
72,58624.69801040461,616,1,POINT (17.28333333 54.71666667)
73,50316.74198379302,616,1,POINT (17.31666667 54.71666667)
74,24789.872243267837,616,1,POINT (17.35 54.71666667)
75,9379.951613677606,616,1,POINT (17.38333333 54.71666667)
76,11337.774476721705,616,1,POINT (17.41666667 54.71666667)
77,47648.75739584135,616,1,POINT (17.45 54.71666667)
78,86332.93010890567,616,1,POINT (17.48333333 54.71666667)
79,335887.8756756145,616,1,POINT (17.51666667 54.71666667)
80,719484.0317169767,616,1,POINT (17.55 54.71666667)
81,550218.2940242057,616,1,POINT (17.58333333 54.71666667)
82,240206.88828137337,616,1,POINT (17.61666667 54.71666667)
83,122074.33596708543,616,1,POINT (17.65 54.71666667)
84,116574.33819928594,616,1,POINT (17.68333333 54.71666667)
85,116574.1070430404,616,1,POINT (17.71666667 54.71666667)
86,116522.5592002858,616,1,POINT (17.75 54.71666667)
87,116385.5379363876,616,1,POINT (17.78333333 54.71666667)
88,116350.93248668821,616,1,POINT (17.81666667 54.71666667)
89,116741.6407894326,616,1,POINT (17.85 54.71666667)
90,322900.0186021375,616,1,POINT (17.88333333 54.71666667)
91,195052.10085146438,616,1,POINT (17.91666667 54.71666667)
92,168608.0625433143,616,1,POINT (17.95 54.71666667)
93,643290.03806425,616,1,POINT (17.98333333 54.71666667)
94,4463436.312307218,616,1,POINT (18.01666667 54.71666667)
95,1619469.8474999308,616,1,POINT (18.05 54.71666667)
96,2042957.088102131,616,1,POINT (18.08333333 54.71666667)
97,2863224.789999577,616,1,POINT (18.11666667 54.71666667)
98,432439.76636106416,616,1,POINT (18.15 54.71666667)
99,391496.7782008228,616,1,POINT (18.18333333 54.71666667)
100,474524.46102187777,616,1,POINT (18.21666667 54.71666667)
101,679141.663417611,616,1,POINT (18.25 54.71666667)
102,439819.54708176944,616,1,POINT (18.28333333 54.71666667)
103,694465.0123924393,616,1,POINT (18.31666667 54.71666667)
104,2160751.5298171123,616,1,POINT (18.35 54.71666667)
105,107367702.3112127,616,1,POINT (18.38333333 54.71666667)
106,255912969.1771436,616,1,POINT (18.41666667 54.71666667)
107,326862.1478247013,616,1,POINT (18.65 54.71666667)
108,38354.44075200449,616,1,POINT (17.11666667 54.68333333)
109,55810.71405601178,616,1,POINT (17.15 54.68333333)
110,64922.66549816417,616,1,POINT (17.18333333 54.68333333)
111,68339.65111324744,616,1,POINT (17.21666667 54.68333333)
112,68607.64958509438,616,1,POINT (17.25 54.68333333)
113,68607.64958509438,616,1,POINT (17.28333333 54.68333333)
114,67912.96387883983,616,1,POINT (17.31666667 54.68333333)
115,61953.95983030685,616,1,POINT (17.35 54.68333333)
116,46217.46131708726,616,1,POINT (17.38333333 54.68333333)
117,62207.96655058573,616,1,POINT (17.41666667 54.68333333)
118,103904.86834283386,616,1,POINT (17.45 54.68333333)
119,108669.12023929032,616,1,POINT (17.48333333 54.68333333)
120,142728.14385601308,616,1,POINT (17.51666667 54.68333333)
121,193092.77729546162,616,1,POINT (17.55 54.68333333)
